scan_idx,label,slice_idx,question_type,question,answer,original_question,spacing_info
amos_0255,aorta,138,average_intensity,What is the average intensity of aorta in this image?,298,What is the average intensity of aorta in this image?,"(0.751953125, 0.751953125)"
amos_0047,esophagus,83,average_intensity,What is the average intensity of esophagus in this image?,33,What is the average intensity of esophagus in this image?,"(0.5885416865348816, 0.5885416865348816)"
amos_0176,stomach_right_of_left kidney,74,relative_position,Which organ is located on the right side of the left kidney in this image?,stomach,Which organ is to the right of left kidney in this image?,"(0.7509999871253967, 0.7509999871253967)"
amos_0021,right kidney vs left kidney,70,is_brighter,Does the right kidney appear brighter compared to the left kidney?,Yes,Is right kidney brighter than left kidney?,"(0.8920000195503235, 0.8920000195503235)"
amos_0377,duodenum,61,average_intensity,What is the mean intensity value of the duodenum in this image?,36,What is the average intensity of duodenum in this image?,"(0.4479166567325592, 0.4479166567325592)"
amos_0105,spatial_bottommost,66,extreme_position,Which organ is located at the lowest position in this image?,gall bladder,Which organ is lower most in this image?,"(0.5768229365348816, 0.5768229365348816)"
amos_0072,bladder,17,diameter,What is the size of the bladder in millimeters as shown in this image?,74,What is the diameter of bladder in mm in this image?,"(0.5885416865348816, 0.5885416865348816)"
amos_0186,spatial_rightmost,63,extreme_position,Which organ is located farthest to the right in this image?,spleen,Which organ is right most in this image?,"(0.4661458432674408, 0.4661458432674408)"
amos_0401,spatial_topmost,66,extreme_position,Which organ is located at the top of this image?,spleen,Which organ is upper most in this image?,"(0.5247395634651184, 0.5247395634651184)"
amos_0288,spatial_leftmost,74,extreme_position,Which organ is positioned farthest to the left in this image?,liver,Which organ is left most in this image?,"(0.7460939884185791, 0.7460939884185791)"
amos_0361,kidneys,61,target_count,How many kidneys can be seen in this image?,2,How many kidneys are present in this image?,"(0.52734375, 0.52734375)"
amos_0390,aorta,98,diameter,What is the aorta's diameter in millimeters as shown in this image?,23,What is the diameter of aorta in mm in this image?,"(0.62109375, 0.62109375)"
amos_0192,spatial_topmost,64,extreme_position,Which organ is located at the top of this image?,right kidney,Which organ is upper most in this image?,"(0.7820000052452087, 0.7820000052452087)"
amos_0307,left kidney,155,diameter,"What is the size, in millimeters, of the left kidney shown in this image?",66,What is the diameter of left kidney in mm in this image?,"(0.671875, 0.671875)"
amos_0273,spleen,177,surface_area,What is the spleen's surface area in square millimeters as shown in this image?,4630,What is the surface area of spleen in mm2 in this image?,"(0.75, 0.75)"
amos_0377,none_left_of_liver,72,relative_position,What organ is located on the left side of the liver in this image?,none,Which organ is to the left of liver in this image?,"(0.4479166567325592, 0.4479166567325592)"
amos_0387,spleen vs aorta,76,is_brighter,Is the spleen more bright than the aorta on the image?,Yes,Is spleen brighter than aorta?,"(0.58203125, 0.58203125)"
amos_0395,gall bladder_left_of_right kidney,64,relative_position,What structure is located to the left of the right kidney in this image?,gall bladder,Which organ is to the left of right kidney in this image?,"(0.4622395932674408, 0.4622395932674408)"
amos_0297,right kidney vs stomach,195,is_larger,Is right kidney larger than stomach?,No,Is right kidney larger than stomach?,"(0.76953125, 0.76953125)"
amos_0282,multiple_organs,185,is_function_present,Does the image show any organ responsible for storing bile?,No,Is there any organ that stores bile in the image?,"(0.787109375, 0.787109375)"
amos_0372,postcava,83,surface_area,What is the surface area of the postcaval structure measured in square millimeters in this image?,594,What is the surface area of postcava in mm2 in this image?,"(0.5807291865348816, 0.5807291865348816)"
amos_0019,spatial_topmost,69,extreme_position,Which organ is located at the top of this image?,left kidney,Which organ is upper most in this image?,"(0.7820000052452087, 0.7820000052452087)"
amos_0292,adrenal_glands,61,target_count,How many adrenal glands can be seen in this image?,0,How many adrenal glands are present in this image?,"(0.693359375, 0.693359375)"
amos_0118,kidneys,63,target_count,How many kidneys are present in this image?,2,How many kidneys are present in this image?,"(0.8539999723434448, 0.8539999723434448)"
amos_0304,spatial_leftmost,119,extreme_position,Which organ is positioned farthest to the left in this image?,liver,Which organ is left most in this image?,"(0.64453125, 0.64453125)"
amos_0154,spatial_leftmost,55,extreme_position,Which organ is positioned farthest to the left in this image?,right kidney,Which organ is left most in this image?,"(0.7820000052452087, 0.7820000052452087)"
amos_0014,left kidney vs liver,73,is_larger,Is the left kidney bigger than the liver?,No,Is left kidney larger than liver?,"(0.7820000052452087, 0.7820000052452087)"
amos_0391,postcava,82,average_intensity,What is the average intensity of postcava in this image?,54,What is the average intensity of postcava in this image?,"(0.97265625, 0.97265625)"
amos_0284,pancreas_right_of_stomach,137,relative_position,Which organ is located on the right side of the stomach in this image?,pancreas,Which organ is to the right of stomach in this image?,"(0.658203125, 0.658203125)"
amos_0021,left kidney,63,diameter,"What is the size, in millimeters, of the left kidney shown in this image?",54,What is the diameter of left kidney in mm in this image?,"(0.8920000195503235, 0.8920000195503235)"
amos_0076,liver,60,average_intensity,What is the mean intensity value of the liver in this image?,48,What is the average intensity of liver in this image?,"(0.4830729067325592, 0.4830729067325592)"
amos_0021,right kidney vs left kidney,70,is_larger,Is the right kidney bigger than the left kidney?,Yes,Is right kidney larger than left kidney?,"(0.8920000195503235, 0.8920000195503235)"
amos_0125,gall bladder vs stomach,67,is_larger,Is the gallbladder bigger than the stomach?,No,Is gall bladder larger than stomach?,"(0.5546875, 0.5546875)"
amos_0387,gall bladder,78,average_intensity,What is the average intensity of gall bladder in this image?,10,What is the average intensity of gall bladder in this image?,"(0.58203125, 0.58203125)"
amos_0108,right adrenal gland,68,average_intensity,What is the mean intensity value of the right adrenal gland in this image?,47,What is the average intensity of right adrenal gland in this image?,"(0.7820000052452087, 0.7820000052452087)"
amos_0344,right adrenal gland,158,surface_area,What is the surface area of the right adrenal gland measured in square millimeters in this image?,161,What is the surface area of right adrenal gland in mm2 in this image?,"(0.5859375, 0.5859375)"
amos_0226,bladder,40,diameter,What is the size of the bladder in millimeters as shown in this image?,95,What is the diameter of bladder in mm in this image?,"(0.6171875, 0.6171875)"
amos_0075,left kidney vs stomach,58,is_larger,Is left kidney larger than stomach?,Yes,Is left kidney larger than stomach?,"(0.7820000052452087, 0.7820000052452087)"
amos_0161,spleen vs stomach,46,is_brighter,Is the spleen more bright than the stomach on the image?,Yes,Is spleen brighter than stomach?,"(0.8579999804496765, 0.8579999804496765)"
amos_0014,left kidney vs liver,73,is_brighter,Is the left kidney more hyperintense compared to the liver?,No,Is left kidney brighter than liver?,"(0.7820000052452087, 0.7820000052452087)"
amos_0154,duodenum_right_of_liver,55,relative_position,What organ is located on the right side of the liver in this image?,duodenum,Which organ is to the right of liver in this image?,"(0.7820000052452087, 0.7820000052452087)"
amos_0326,spleen vs pancreas,55,is_larger,Is the spleen bigger than the pancreas?,Yes,Is spleen larger than pancreas?,"(0.5859375, 0.5859375)"
amos_0203,right kidney vs aorta,178,is_brighter,Is the right kidney more hyperintense compared to the aorta?,No,Is right kidney brighter than aorta?,"(0.658203125, 0.658203125)"
amos_0337,multiple_organs,145,target_count,How many organs are present in this image?,10,How many organs are present in this image?,"(0.748046875, 0.748046875)"
amos_0388,spatial_rightmost,60,extreme_position,Which organ is located farthest to the right in this image?,spleen,Which organ is right most in this image?,"(0.4817708432674408, 0.4817708432674408)"
amos_0035,spatial_topmost,63,extreme_position,Which organ is upper most in this image?,left kidney,Which organ is upper most in this image?,"(0.9610000252723694, 0.9610000252723694)"
amos_0278,prostate/uterus,22,diameter,"What is the size, in millimeters, of the prostate or uterus shown in this image?",37,What is the diameter of prostate/uterus in mm in this image?,"(0.693359375, 0.693359375)"
amos_0073,adrenal_glands,73,target_count,How many adrenal glands are present in this image?,2,How many adrenal glands are present in this image?,"(0.7820000052452087, 0.7820000052452087)"
amos_0125,multiple_organs,67,is_function_present,Does the image show any organ responsible for digesting food?,Yes,Is there any organ that digests food in the image?,"(0.5546875, 0.5546875)"
amos_0024,multiple_organs,68,is_function_present,Is there any organ that regulates blood sugar in the image?,Yes,Is there any organ that regulates blood sugar in the image?,"(0.7820000052452087, 0.7820000052452087)"
amos_0600,spleen,50,average_intensity,What is the mean intensity value of the spleen in this image?,167,What is the average intensity of spleen in this image?,"(1.1875, 1.1875)"
amos_0057,right kidney vs liver,60,is_brighter,Is right kidney brighter than liver?,No,Is right kidney brighter than liver?,"(0.6510416865348816, 0.6510416865348816)"
amos_0195,spatial_topmost,69,extreme_position,Which organ is located at the top of this image?,left kidney,Which organ is upper most in this image?,"(0.953000009059906, 0.953000009059906)"
amos_0297,right kidney vs stomach,195,is_brighter,Is the right kidney more bright than the stomach on the image?,Yes,Is right kidney brighter than stomach?,"(0.76953125, 0.76953125)"
amos_0336,right kidney vs left kidney,157,is_brighter,Does the right kidney appear brighter compared to the left kidney?,Yes,Is right kidney brighter than left kidney?,"(0.79296875, 0.79296875)"
amos_0294,spatial_bottommost,161,extreme_position,Which organ is located at the lowest position in this image?,stomach,Which organ is lower most in this image?,"(0.677734375, 0.677734375)"
amos_0083,left adrenal gland,66,average_intensity,What is the mean intensity value of the left adrenal gland in this image?,66,What is the average intensity of left adrenal gland in this image?,"(0.7820000052452087, 0.7820000052452087)"
amos_0070,aorta,96,average_intensity,What is the mean intensity value of the aorta in this image?,28,What is the average intensity of aorta in this image?,"(0.5234375, 0.5234375)"
amos_0071,spleen vs aorta,69,is_larger,Is spleen larger than aorta?,Yes,Is spleen larger than aorta?,"(0.8349999785423279, 0.8349999785423279)"
amos_0254,spatial_rightmost,59,extreme_position,Which organ is located on the far right side of the image?,left kidney,Which organ is right most in this image?,"(0.59765625, 0.59765625)"
amos_0245,spatial_rightmost,119,extreme_position,Which organ is located farthest to the right in this image?,spleen,Which organ is right most in this image?,"(0.8125, 0.8125)"
amos_0318,left kidney_right_of_stomach,64,relative_position,Which organ is to the right of stomach in this image?,left kidney,Which organ is to the right of stomach in this image?,"(0.6484375, 0.6484375)"
amos_0365,spleen,81,diameter,What is the diameter of spleen in mm in this image?,106,What is the diameter of spleen in mm in this image?,"(0.6015625, 0.6015625)"
amos_0072,pancreas,69,average_intensity,What is the average intensity of pancreas in this image?,46,What is the average intensity of pancreas in this image?,"(0.5885416865348816, 0.5885416865348816)"
amos_0069,spleen vs stomach,67,is_larger,Is the spleen bigger than the stomach?,Yes,Is spleen larger than stomach?,"(0.8009999990463257, 0.8009999990463257)"
amos_0351,multiple_organs,256,is_function_present,Does the image show any organ responsible for producing urine?,Yes,Is there any organ that produces urine in the image?,"(0.703125, 0.703125)"
amos_0111,adrenal_glands,84,target_count,How many adrenal glands can be seen in this image?,1,How many adrenal glands are present in this image?,"(0.7820000052452087, 0.7820000052452087)"
amos_0254,bladder,13,diameter,What is the size of the bladder in millimeters as shown in this image?,74,What is the diameter of bladder in mm in this image?,"(0.59765625, 0.59765625)"
amos_0342,aorta_right_of_stomach,61,relative_position,Which organ is located on the right side of the stomach in this image?,aorta,Which organ is to the right of stomach in this image?,"(0.615234375, 0.615234375)"
amos_0160,spatial_topmost,69,extreme_position,Which organ is located at the top of this image?,right kidney,Which organ is upper most in this image?,"(0.8690000176429749, 0.8690000176429749)"
amos_0141,aorta,83,average_intensity,What is the average intensity of aorta in this image?,33,What is the average intensity of aorta in this image?,"(0.8999999761581421, 0.8999999761581421)"
amos_0380,right kidney vs pancreas,78,is_larger,Is the right kidney bigger than the pancreas?,No,Is right kidney larger than pancreas?,"(0.6067708134651184, 0.6067708134651184)"
amos_0388,esophagus,74,surface_area,What is the esophagus's surface area in square millimeters as shown in this image?,321,What is the surface area of esophagus in mm2 in this image?,"(0.4817708432674408, 0.4817708432674408)"
amos_0005,gall bladder_right_of_liver,61,relative_position,What organ is located on the right side of the liver in this image?,gall bladder,Which organ is to the right of liver in this image?,"(0.5690104365348816, 0.5690104365348816)"
amos_0346,multiple_organs,52,is_function_present,Is there an organ visible in the image that transports oxygen-rich blood from the heart?,Yes,Is there any organ that carries oxygenated blood from the heart in the image?,"(0.62109375, 0.62109375)"
amos_0377,postcava,83,average_intensity,What is the mean intensity value of the postcaval region in this image?,44,What is the average intensity of postcava in this image?,"(0.4479166567325592, 0.4479166567325592)"
amos_0218,right kidney vs postcava,126,is_larger,Is the right kidney bigger than the inferior vena cava?,Yes,Is right kidney larger than postcava?,"(0.7558590173721313, 0.7558590173721313)"
amos_0109,spatial_topmost,66,extreme_position,Which organ is located at the top of this image?,right kidney,Which organ is upper most in this image?,"(0.6197916865348816, 0.6197916865348816)"
amos_0264,left kidney vs postcava,169,is_brighter,Is the left kidney more hyperintense compared to the postcava?,No,Is left kidney brighter than postcava?,"(0.728515625, 0.728515625)"
amos_0176,stomach,71,surface_area,What is the stomach's surface area in square millimeters as shown in this image?,1892,What is the surface area of stomach in mm2 in this image?,"(0.7509999871253967, 0.7509999871253967)"
amos_0318,spatial_topmost,64,extreme_position,Which organ is located at the top of this image?,right kidney,Which organ is upper most in this image?,"(0.6484375, 0.6484375)"
amos_0216,bladder,42,surface_area,What is the bladder's surface area in square millimeters as shown in the image?,2034,What is the surface area of bladder in mm2 in this image?,"(0.658203125, 0.658203125)"
amos_0379,liver,91,surface_area,What is the liver's surface area in square millimeters as shown in this image?,18402,What is the surface area of liver in mm2 in this image?,"(0.6080729365348816, 0.6080729365348816)"
amos_0249,spleen vs duodenum,124,is_brighter,Is the spleen more bright compared to the duodenum?,Yes,Is spleen brighter than duodenum?,"(0.6328125, 0.6328125)"
amos_0044,multiple_organs,38,is_function_present,Is there an organ visible in the image that transports oxygen-rich blood from the heart?,Yes,Is there any organ that carries oxygenated blood from the heart in the image?,"(0.5078125, 0.5078125)"
amos_0284,adrenal_glands,137,target_count,How many adrenal glands can be seen in this image?,1,How many adrenal glands are present in this image?,"(0.658203125, 0.658203125)"
amos_0321,gall bladder vs liver,134,is_larger,Is the gallbladder bigger than the liver?,No,Is gall bladder larger than liver?,"(0.71875, 0.71875)"
amos_0268,aorta_left_of_stomach,147,relative_position,What organ is located on the left side of the stomach in this image?,aorta,Which organ is to the left of stomach in this image?,"(0.6484375, 0.6484375)"
amos_0330,right kidney,50,diameter,"What is the size, in millimeters, of the right kidney shown in this image?",70,What is the diameter of right kidney in mm in this image?,"(0.62109375, 0.62109375)"
amos_0115,gall bladder vs postcava,65,is_larger,Is gall bladder larger than postcava?,Yes,Is gall bladder larger than postcava?,"(0.47265625, 0.47265625)"
amos_0336,right kidney vs left kidney,157,is_larger,Is the right kidney bigger than the left kidney?,No,Is right kidney larger than left kidney?,"(0.79296875, 0.79296875)"
amos_0406,multiple_organs,53,is_function_present,Is there any organ that carries oxygenated blood from the heart in the image?,No,Is there any organ that carries oxygenated blood from the heart in the image?,"(0.5559895634651184, 0.5559895634651184)"
amos_0226,multiple_organs,163,is_function_present,Is there an organ visible in the image that transports oxygen-rich blood from the heart?,Yes,Is there any organ that carries oxygenated blood from the heart in the image?,"(0.6171875, 0.6171875)"
amos_0274,duodenum,113,surface_area,What is the surface area of duodenum in mm2 in this image?,1111,What is the surface area of duodenum in mm2 in this image?,"(0.6875, 0.6875)"
amos_0200,left kidney,67,diameter,"What is the size, in millimeters, of the left kidney shown in this image?",61,What is the diameter of left kidney in mm in this image?,"(0.8999999761581421, 0.8999999761581421)"
amos_0078,spleen vs right kidney,71,is_brighter,Is the spleen more bright than the right kidney?,Yes,Is spleen brighter than right kidney?,"(0.7820000052452087, 0.7820000052452087)"
amos_0203,right kidney vs aorta,178,is_larger,Is the right kidney bigger than the aorta?,Yes,Is right kidney larger than aorta?,"(0.658203125, 0.658203125)"
amos_0219,kidneys,147,target_count,How many kidneys can be seen in this image?,2,How many kidneys are present in this image?,"(0.638671875, 0.638671875)"
amos_0057,multiple_organs,60,is_function_present,Does the image show an organ that stores bile?,Yes,Is there any organ that stores bile in the image?,"(0.6510416865348816, 0.6510416865348816)"
amos_0188,liver vs pancreas,67,is_brighter,Is the liver more bright than the pancreas on the image?,Yes,Is liver brighter than pancreas?,"(0.7820000052452087, 0.7820000052452087)"
amos_0197,liver vs postcava,67,is_larger,Is the liver bigger than the posterior vena cava?,Yes,Is liver larger than postcava?,"(0.6710000038146973, 0.6710000038146973)"
amos_0380,right kidney vs pancreas,78,is_brighter,Is the right kidney more hyperintense compared to the pancreas?,No,Is right kidney brighter than pancreas?,"(0.6067708134651184, 0.6067708134651184)"
amos_0189,adrenal_glands,61,target_count,How many adrenal glands can be seen in this image?,0,How many adrenal glands are present in this image?,"(0.4791666567325592, 0.4791666567325592)"
amos_0129,multiple_organs,66,target_count,How many different organs can be seen in this image?,11,How many organs are present in this image?,"(0.7820000052452087, 0.7820000052452087)"
amos_0268,multiple_organs,147,is_function_present,Does the image show any organ responsible for filtering blood?,Yes,Is there any organ that filters blood in the image?,"(0.6484375, 0.6484375)"
amos_0071,right kidney vs liver,69,is_larger,Is the right kidney bigger than the liver?,No,Is right kidney larger than liver?,"(0.8349999785423279, 0.8349999785423279)"
amos_0188,liver vs pancreas,67,is_larger,Is the liver bigger than the pancreas?,Yes,Is liver larger than pancreas?,"(0.7820000052452087, 0.7820000052452087)"
amos_0410,pancreas,77,average_intensity,What is the average intensity of pancreas in this image?,36,What is the average intensity of pancreas in this image?,"(0.5833333134651184, 0.5833333134651184)"
amos_0218,right kidney vs postcava,126,is_brighter,Is the right kidney more hyperintense compared to the postcava?,No,Is right kidney brighter than postcava?,"(0.7558590173721313, 0.7558590173721313)"
amos_0014,multiple_organs,73,is_function_present,Is there any organ that helps control stress hormones in the image?,No,Is there any organ that helps control stress hormones in the image?,"(0.7820000052452087, 0.7820000052452087)"
amos_0387,spleen vs aorta,76,is_larger,Is the spleen bigger than the aorta?,Yes,Is spleen larger than aorta?,"(0.58203125, 0.58203125)"
amos_0075,left kidney vs stomach,58,is_brighter,Is the left kidney more bright than the stomach on the image?,Yes,Is left kidney brighter than stomach?,"(0.7820000052452087, 0.7820000052452087)"
amos_0019,aorta_left_of_left kidney,69,relative_position,What structure is located to the left of the left kidney in this image?,aorta,Which organ is to the left of left kidney in this image?,"(0.7820000052452087, 0.7820000052452087)"
amos_0089,left adrenal gland,65,surface_area,What is the surface area of the left adrenal gland measured in square millimeters in this image?,229,What is the surface area of left adrenal gland in mm2 in this image?,"(0.9459999799728394, 0.9459999799728394)"
amos_0326,spleen vs pancreas,55,is_brighter,Is the spleen more bright than the pancreas on the image?,No,Is spleen brighter than pancreas?,"(0.5859375, 0.5859375)"
amos_0404,spatial_leftmost,71,extreme_position,Which organ is positioned farthest to the left in this image?,liver,Which organ is left most in this image?,"(0.53515625, 0.53515625)"
amos_0348,gall bladder,172,average_intensity,What is the average intensity of gall bladder in this image?,21,What is the average intensity of gall bladder in this image?,"(0.67578125, 0.67578125)"
amos_0294,spatial_rightmost,161,extreme_position,Which organ is located farthest to the right in this image?,spleen,Which organ is right most in this image?,"(0.677734375, 0.677734375)"
amos_0115,adrenal_glands,65,target_count,How many adrenal glands can be seen in this image?,2,How many adrenal glands are present in this image?,"(0.47265625, 0.47265625)"
amos_0125,gall bladder vs stomach,67,is_brighter,Is the gallbladder more brightly illuminated than the stomach on the imaging scan?,No,Is gall bladder brighter than stomach?,"(0.5546875, 0.5546875)"
amos_0378,stomach_left_of_aorta,71,relative_position,What organ is located on the left side of the aorta in this image?,stomach,Which organ is to the left of aorta in this image?,"(0.6328125, 0.6328125)"
amos_0248,multiple_organs,160,is_function_present,Is there any organ that regulates blood sugar in the image?,Yes,Is there any organ that regulates blood sugar in the image?,"(0.689453125, 0.689453125)"
amos_0192,adrenal_glands,64,target_count,How many adrenal glands can be seen in this image?,0,How many adrenal glands are present in this image?,"(0.7820000052452087, 0.7820000052452087)"
amos_0313,duodenum,165,surface_area,What is the surface area of duodenum in mm2 in this image?,1888,What is the surface area of duodenum in mm2 in this image?,"(0.724609375, 0.724609375)"
amos_0019,none_right_of_spleen,69,relative_position,Which organ is located on the right side of the spleen in this image?,none,Which organ is to the right of spleen in this image?,"(0.7820000052452087, 0.7820000052452087)"
amos_0376,spleen,77,diameter,What is the size of the spleen in millimeters as seen in this image?,66,What is the diameter of spleen in mm in this image?,"(0.54296875, 0.54296875)"
amos_0264,left kidney vs postcava,169,is_larger,Is the left kidney bigger than the inferior vena cava?,Yes,Is left kidney larger than postcava?,"(0.728515625, 0.728515625)"
amos_0214,spatial_rightmost,179,extreme_position,Which organ is located on the far right side in this image?,spleen,Which organ is right most in this image?,"(0.8515625, 0.8515625)"
amos_0149,stomach_right_of_postcava,76,relative_position,Which structure is located to the right of the postcava in this image?,stomach,Which organ is to the right of postcava in this image?,"(0.9039999842643738, 0.9039999842643738)"
amos_0254,multiple_organs,59,is_function_present,Does the image show any organ responsible for regulating blood sugar?,Yes,Is there any organ that regulates blood sugar in the image?,"(0.59765625, 0.59765625)"
amos_0154,spleen,55,average_intensity,What is the mean intensity value of the spleen in this image?,104,What is the average intensity of spleen in this image?,"(0.7820000052452087, 0.7820000052452087)"
amos_0134,liver,47,diameter,What is the liver's diameter in millimeters as shown in this image?,193,What is the diameter of liver in mm in this image?,"(0.8539999723434448, 0.8539999723434448)"
amos_0310,right adrenal gland,161,average_intensity,What is the mean intensity value of the right adrenal gland in this image?,25,What is the average intensity of right adrenal gland in this image?,"(0.66796875, 0.66796875)"
amos_0363,multiple_organs,62,is_function_present,Does the image show an organ involved in regulating stress hormones?,No,Is there any organ that helps control stress hormones in the image?,"(0.5078125, 0.5078125)"
amos_0004,adrenal_glands,59,target_count,How many adrenal glands can be seen in this image?,1,How many adrenal glands are present in this image?,"(0.7820000052452087, 0.7820000052452087)"
amos_0085,left kidney,55,surface_area,What is the surface area of the left kidney measured in square millimeters in this image?,1474,What is the surface area of left kidney in mm2 in this image?,"(0.7020000219345093, 0.7020000219345093)"
amos_0085,gall bladder vs pancreas,67,is_larger,Is the gallbladder bigger than the pancreas?,No,Is gall bladder larger than pancreas?,"(0.7020000219345093, 0.7020000219345093)"
amos_0289,duodenum,130,diameter,What is the measured diameter of the duodenum in millimeters in this image?,81,What is the diameter of duodenum in mm in this image?,"(0.693359375, 0.693359375)"
amos_0067,spatial_rightmost,73,extreme_position,Which organ is located farthest to the right in this image?,spleen,Which organ is right most in this image?,"(0.8539999723434448, 0.8539999723434448)"
amos_0396,pancreas_right_of_aorta,72,relative_position,Which structure is located to the right of the aorta in this image?,pancreas,Which organ is to the right of aorta in this image?,"(0.6432291865348816, 0.6432291865348816)"
amos_0400,esophagus,78,surface_area,What is the esophageal surface area measured in square millimeters in this image?,191,What is the surface area of esophagus in mm2 in this image?,"(0.4674479067325592, 0.4674479067325592)"
