scan_idx,label,slice_idx,question_type,question,answer,spacing_info
liver_63,cancer,81,surface_area,What is the total surface area of the cancer in mm2 in this image?,127,"(0.7402340173721313, 0.7402340173721313)"
liver_72,liver,71,is_function_present,Is there any organ that produces bile for fat digestion in this image?,Yes,"(0.6777340173721313, 0.6777340173721313)"
liver_8,cancer,379,is_present_target,Does this image display any liver tumor?,Yes,"(0.84765625, 0.84765625)"
liver_5,liver,458,average_intensity,What is the average intensity of the liver in this image?,75,"(0.96875, 0.96875)"
liver_14,liver,354,is_function_present,Is there any organ that converts toxic ammonia into less harmful urea in this image?,Yes,"(0.685546875, 0.685546875)"
liver_15,cancer,327,average_intensity,What is the average intensity of liver tumor(s) in this image?,63,"(0.654296875, 0.654296875)"
liver_44,liver,97,average_intensity,What is the average intensity of the liver in this image?,112,"(1.0, 1.0)"
liver_94,cancer,577,is_larger,Is the total surface of liver tumor(s) larger than that of the liver in this image?,No,"(0.837890625, 0.837890625)"
liver_101,cancer,505,is_brighter,Is liver tumor brighter than the liver in this image?,No,"(0.705078125, 0.705078125)"
liver_45,cancer,34,average_intensity,What is the average intensity of liver tumor(s) in this image?,55,"(1.0, 1.0)"
liver_17,cancer,404,diameter,What is the diameter of the largest liver tumor in mm in this image?,21,"(0.7441409826278687, 0.7441409826278687)"
liver_25,cancer,521,count,How many liver tumors are there in this image?,0,"(0.767578125, 0.767578125)"
liver_113,cancer,516,diameter,What is the diameter of the largest liver tumor in mm in this image?,29,"(0.781000018119812, 0.781000018119812)"
liver_123,liver,262,diameter,What is the diameter of the liver in mm in this image?,240,"(0.748046875, 0.748046875)"
liver_18,cancer,421,diameter,What is the diameter of the largest liver tumor in mm in this image?,21,"(0.921875, 0.921875)"
liver_96,cancer,607,surface_area,What is the total surface area of the cancer in mm2 in this image?,430,"(0.74609375, 0.74609375)"
liver_90,cancer,440,count,How many liver tumors are there in this image?,2,"(0.781000018119812, 0.781000018119812)"
liver_5,cancer,458,diameter,What is the diameter of the largest liver tumor in mm in this image?,0,"(0.96875, 0.96875)"
liver_79,cancer,116,count,How many liver tumors are there in this image?,2,"(0.796875, 0.796875)"
liver_112,cancer,420,is_present_target,Does this image display any liver tumor?,Yes,"(0.6399999856948853, 0.6399999856948853)"
liver_5,cancer,458,is_larger,Is the total surface of liver tumor(s) larger than that of the liver in this image?,No,"(0.96875, 0.96875)"
liver_104,cancer,355,is_brighter,Is liver tumor brighter than the liver in this image?,No,"(0.781000018119812, 0.781000018119812)"
liver_27,cancer,428,is_larger,Is the total surface of liver tumor(s) larger than that of the liver in this image?,No,"(0.73828125, 0.73828125)"
liver_80,liver,162,is_healthy,Is the liver healthy in this image?,No,"(0.68359375, 0.68359375)"
liver_130,liver,505,is_function_present,Is there any organ that converts toxic ammonia into less harmful urea in this image?,Yes,"(0.68359375, 0.68359375)"
liver_57,cancer,326,is_present_target,Does this image display any liver tumor?,Yes,"(0.703125, 0.703125)"
liver_6,cancer,353,diameter,What is the diameter of the largest liver tumor in mm in this image?,32,"(0.873046875, 0.873046875)"
liver_107,cancer,380,surface_area,What is the total surface area of the cancer in mm2 in this image?,116,"(0.7820000052452087, 0.7820000052452087)"
liver_43,liver,59,surface_area,What is the total surface area of the liver in mm2 in this image?,9982,"(1.0, 1.0)"
liver_58,liver,167,diameter,What is the diameter of the liver in mm in this image?,195,"(0.6835939884185791, 0.6835939884185791)"
liver_74,cancer,79,diameter,What is the diameter of the largest liver tumor in mm in this image?,69,"(0.8261719942092896, 0.8261719942092896)"
liver_56,liver,195,is_healthy,Is the liver healthy in this image?,No,"(0.8027340173721313, 0.8027340173721313)"
liver_96,cancer,607,average_intensity,What is the average intensity of liver tumor(s) in this image?,117,"(0.74609375, 0.74609375)"
liver_40,cancer,83,is_larger,Is the total surface of liver tumor(s) larger than that of the liver in this image?,No,"(1.0, 1.0)"
liver_15,cancer,327,count,How many liver tumors are there in this image?,1,"(0.654296875, 0.654296875)"
liver_83,liver,572,average_intensity,What is the average intensity of the liver in this image?,129,"(0.7421875, 0.7421875)"
liver_19,liver,427,is_healthy,Is the liver healthy in this image?,No,"(0.751953125, 0.751953125)"
liver_57,liver,326,is_healthy,Is the liver healthy in this image?,No,"(0.703125, 0.703125)"
liver_107,liver,380,average_intensity,What is the average intensity of the liver in this image?,126,"(0.7820000052452087, 0.7820000052452087)"
liver_49,cancer,151,average_intensity,What is the average intensity of liver tumor(s) in this image?,113,"(0.955078125, 0.955078125)"
liver_72,cancer,71,is_present_target,Does this image display any liver tumor?,Yes,"(0.6777340173721313, 0.6777340173721313)"
liver_113,cancer,516,count,How many liver tumors are there in this image?,2,"(0.781000018119812, 0.781000018119812)"
liver_74,liver,79,is_healthy,Is the liver healthy in this image?,No,"(0.8261719942092896, 0.8261719942092896)"
liver_121,cancer,260,is_brighter,Is liver tumor brighter than the liver in this image?,Yes,"(0.794921875, 0.794921875)"
liver_1,cancer,58,is_brighter,Is liver tumor brighter than the liver in this image?,No,"(0.6757810115814209, 0.6757810115814209)"
liver_79,cancer,116,is_larger,Is the total surface of liver tumor(s) larger than that of the liver in this image?,No,"(0.796875, 0.796875)"
liver_71,liver,75,is_healthy,Is the liver healthy in this image?,No,"(0.556640625, 0.556640625)"
liver_16,cancer,423,is_brighter,Is liver tumor brighter than the liver in this image?,No,"(0.703125, 0.703125)"
liver_107,liver,380,surface_area,What is the total surface area of the liver in mm2 in this image?,9574,"(0.7820000052452087, 0.7820000052452087)"
liver_116,cancer,583,diameter,What is the diameter of the largest liver tumor in mm in this image?,108,"(0.7890625, 0.7890625)"
liver_37,liver,101,diameter,What is the diameter of the liver in mm in this image?,233,"(1.0, 1.0)"
liver_66,cancer,78,count,How many liver tumors are there in this image?,3,"(0.7128909826278687, 0.7128909826278687)"
liver_65,cancer,423,surface_area,What is the total surface area of the cancer in mm2 in this image?,98,"(0.625, 0.625)"
liver_63,liver,81,is_function_present,Is there any organ that filters blood from the digestive tract (portal blood) for detoxification in this image?,Yes,"(0.7402340173721313, 0.7402340173721313)"
liver_42,liver,106,is_function_present,Is there any organ that converts toxic ammonia into less harmful urea in this image?,Yes,"(1.0, 1.0)"
liver_96,liver,607,average_intensity,What is the average intensity of the liver in this image?,117,"(0.74609375, 0.74609375)"
liver_113,cancer,516,is_brighter,Is liver tumor brighter than the liver in this image?,No,"(0.781000018119812, 0.781000018119812)"
liver_56,liver,195,diameter,What is the diameter of the liver in mm in this image?,240,"(0.8027340173721313, 0.8027340173721313)"
liver_25,cancer,521,is_brighter,Is liver tumor brighter than the liver in this image?,No,"(0.767578125, 0.767578125)"
liver_109,cancer,450,is_brighter,Is liver tumor brighter than the liver in this image?,No,"(0.7630000114440918, 0.7630000114440918)"
liver_55,cancer,167,diameter,What is the diameter of the largest liver tumor in mm in this image?,20,"(0.6660159826278687, 0.6660159826278687)"
liver_107,cancer,380,average_intensity,What is the average intensity of liver tumor(s) in this image?,126,"(0.7820000052452087, 0.7820000052452087)"
liver_101,liver,505,average_intensity,What is the average intensity of the liver in this image?,108,"(0.705078125, 0.705078125)"
liver_109,liver,450,is_healthy,Is the liver healthy in this image?,No,"(0.7630000114440918, 0.7630000114440918)"
liver_24,liver,198,diameter,What is the diameter of the liver in mm in this image?,166,"(0.669921875, 0.669921875)"
liver_98,cancer,569,diameter,What is the diameter of the largest liver tumor in mm in this image?,77,"(0.734375, 0.734375)"
liver_96,cancer,607,is_larger,Is the total surface of liver tumor(s) larger than that of the liver in this image?,No,"(0.74609375, 0.74609375)"
liver_63,cancer,81,count,How many liver tumors are there in this image?,1,"(0.7402340173721313, 0.7402340173721313)"
liver_53,cancer,64,average_intensity,What is the average intensity of liver tumor(s) in this image?,94,"(0.8500000238418579, 0.8500000238418579)"
liver_118,liver,251,is_healthy,Is the liver healthy in this image?,No,"(0.744140625, 0.744140625)"
liver_80,liver,162,is_function_present,Is there any organ that converts toxic ammonia into less harmful urea in this image?,Yes,"(0.68359375, 0.68359375)"
liver_45,liver,34,surface_area,What is the total surface area of the liver in mm2 in this image?,21185,"(1.0, 1.0)"
liver_7,cancer,373,count,How many liver tumors are there in this image?,1,"(0.748046875, 0.748046875)"
liver_16,cancer,423,is_larger,Is the total surface of liver tumor(s) larger than that of the liver in this image?,No,"(0.703125, 0.703125)"
liver_103,liver,529,diameter,What is the diameter of the liver in mm in this image?,175,"(0.85546875, 0.85546875)"
liver_55,liver,167,average_intensity,What is the average intensity of the liver in this image?,131,"(0.6660159826278687, 0.6660159826278687)"
liver_127,liver,631,is_healthy,Is the liver healthy in this image?,No,"(0.771484375, 0.771484375)"
liver_59,cancer,143,is_present_target,Does this image display any liver tumor?,Yes,"(0.6835939884185791, 0.6835939884185791)"
liver_1,cancer,58,is_larger,Is the total surface of liver tumor(s) larger than that of the liver in this image?,No,"(0.6757810115814209, 0.6757810115814209)"
liver_57,liver,326,is_function_present,Is there any organ that converts toxic ammonia into less harmful urea in this image?,Yes,"(0.703125, 0.703125)"
liver_101,cancer,505,average_intensity,What is the average intensity of liver tumor(s) in this image?,108,"(0.705078125, 0.705078125)"
liver_18,liver,421,is_healthy,Is the liver healthy in this image?,No,"(0.921875, 0.921875)"
liver_108,cancer,535,diameter,What is the diameter of the largest liver tumor in mm in this image?,108,"(0.7289999723434448, 0.7289999723434448)"
liver_27,cancer,428,is_brighter,Is liver tumor brighter than the liver in this image?,No,"(0.73828125, 0.73828125)"
liver_63,cancer,81,is_present_target,Does this image display any liver tumor?,Yes,"(0.7402340173721313, 0.7402340173721313)"
liver_48,liver,146,diameter,What is the diameter of the liver in mm in this image?,234,"(0.9765620231628418, 0.9765620231628418)"
liver_95,cancer,506,is_present_target,Does this image display any liver tumor?,Yes,"(0.7379999756813049, 0.7379999756813049)"
liver_118,cancer,251,is_present_target,Does this image display any liver tumor?,Yes,"(0.744140625, 0.744140625)"
liver_94,cancer,577,is_brighter,Is liver tumor brighter than the liver in this image?,No,"(0.837890625, 0.837890625)"
liver_118,liver,251,is_function_present,Is there any organ that filters blood from the digestive tract (portal blood) for detoxification in this image?,Yes,"(0.744140625, 0.744140625)"
liver_96,liver,607,surface_area,What is the total surface area of the liver in mm2 in this image?,20789,"(0.74609375, 0.74609375)"
liver_14,liver,354,is_healthy,Is the liver healthy in this image?,No,"(0.685546875, 0.685546875)"
liver_95,cancer,506,is_larger,Is the total surface of liver tumor(s) larger than that of the liver in this image?,No,"(0.7379999756813049, 0.7379999756813049)"
liver_62,cancer,114,count,How many liver tumors are there in this image?,1,"(0.6445310115814209, 0.6445310115814209)"
liver_8,liver,379,is_healthy,Is the liver healthy in this image?,No,"(0.84765625, 0.84765625)"
liver_82,liver,400,is_healthy,Is the liver healthy in this image?,No,"(0.625, 0.625)"
liver_45,liver,34,is_function_present,Is there any organ that converts toxic ammonia into less harmful urea in this image?,Yes,"(1.0, 1.0)"
liver_8,liver,379,is_function_present,Is there any organ that produces bile for fat digestion in this image?,Yes,"(0.84765625, 0.84765625)"
liver_42,cancer,106,is_present_target,Does this image display any liver tumor?,Yes,"(1.0, 1.0)"
liver_22,cancer,132,count,How many liver tumors are there in this image?,1,"(0.9765620231628418, 0.9765620231628418)"
liver_96,cancer,607,is_brighter,Is liver tumor brighter than the liver in this image?,No,"(0.74609375, 0.74609375)"
liver_15,liver,327,is_healthy,Is the liver healthy in this image?,No,"(0.654296875, 0.654296875)"
liver_53,liver,64,surface_area,What is the total surface area of the liver in mm2 in this image?,6558,"(0.8500000238418579, 0.8500000238418579)"
liver_94,liver,577,is_function_present,Is there any organ that filters blood from the digestive tract (portal blood) for detoxification in this image?,Yes,"(0.837890625, 0.837890625)"
liver_71,cancer,75,is_brighter,Is liver tumor brighter than the liver in this image?,No,"(0.556640625, 0.556640625)"
liver_112,liver,420,is_healthy,Is the liver healthy in this image?,No,"(0.6399999856948853, 0.6399999856948853)"
liver_14,cancer,354,is_brighter,Is liver tumor brighter than the liver in this image?,No,"(0.685546875, 0.685546875)"
liver_101,cancer,505,surface_area,What is the total surface area of the cancer in mm2 in this image?,2348,"(0.705078125, 0.705078125)"
liver_31,liver,62,surface_area,What is the total surface area of the liver in mm2 in this image?,28416,"(1.0, 1.0)"
liver_86,liver,496,is_function_present,Is there any organ that synthesizes all major blood clotting factors and albumin in this image?,Yes,"(0.68359375, 0.68359375)"
liver_121,liver,260,is_healthy,Is the liver healthy in this image?,No,"(0.794921875, 0.794921875)"
liver_87,liver,448,is_healthy,Is the liver healthy in this image?,Yes,"(0.8539999723434448, 0.8539999723434448)"
liver_111,liver,351,average_intensity,What is the average intensity of the liver in this image?,126,"(0.7820000052452087, 0.7820000052452087)"
liver_60,cancer,194,is_brighter,Is liver tumor brighter than the liver in this image?,No,"(0.7988280057907104, 0.7988280057907104)"
liver_121,liver,260,is_function_present,Is there any organ that filters blood from the digestive tract (portal blood) for detoxification in this image?,Yes,"(0.794921875, 0.794921875)"
liver_130,liver,505,is_healthy,Is the liver healthy in this image?,No,"(0.68359375, 0.68359375)"
liver_33,cancer,100,is_brighter,Is liver tumor brighter than the liver in this image?,No,"(1.0, 1.0)"
liver_104,cancer,355,is_larger,Is the total surface of liver tumor(s) larger than that of the liver in this image?,No,"(0.781000018119812, 0.781000018119812)"
liver_109,cancer,450,is_present_target,Does this image display any liver tumor?,Yes,"(0.7630000114440918, 0.7630000114440918)"
liver_15,cancer,327,is_brighter,Is liver tumor brighter than the liver in this image?,No,"(0.654296875, 0.654296875)"
liver_16,cancer,423,diameter,What is the diameter of the largest liver tumor in mm in this image?,74,"(0.703125, 0.703125)"
liver_53,liver,64,average_intensity,What is the average intensity of the liver in this image?,94,"(0.8500000238418579, 0.8500000238418579)"
liver_44,cancer,97,diameter,What is the diameter of the largest liver tumor in mm in this image?,93,"(1.0, 1.0)"
liver_111,cancer,351,surface_area,What is the total surface area of the cancer in mm2 in this image?,130,"(0.7820000052452087, 0.7820000052452087)"
liver_95,cancer,506,is_brighter,Is liver tumor brighter than the liver in this image?,No,"(0.7379999756813049, 0.7379999756813049)"
liver_113,cancer,516,is_larger,Is the total surface of liver tumor(s) larger than that of the liver in this image?,No,"(0.781000018119812, 0.781000018119812)"
liver_104,liver,355,is_function_present,Is there any organ that filters blood from the digestive tract (portal blood) for detoxification in this image?,Yes,"(0.781000018119812, 0.781000018119812)"
liver_1,cancer,58,surface_area,What is the total surface area of the cancer in mm2 in this image?,450,"(0.6757810115814209, 0.6757810115814209)"
liver_80,cancer,162,is_present_target,Does this image display any liver tumor?,Yes,"(0.68359375, 0.68359375)"
liver_62,cancer,114,is_larger,Is the total surface of liver tumor(s) larger than that of the liver in this image?,No,"(0.6445310115814209, 0.6445310115814209)"
liver_40,cancer,83,count,How many liver tumors are there in this image?,5,"(1.0, 1.0)"
liver_41,liver,56,is_healthy,Is the liver healthy in this image?,Yes,"(1.0, 1.0)"
liver_53,cancer,64,diameter,What is the diameter of the largest liver tumor in mm in this image?,24,"(0.8500000238418579, 0.8500000238418579)"
liver_25,cancer,521,is_larger,Is the total surface of liver tumor(s) larger than that of the liver in this image?,No,"(0.767578125, 0.767578125)"
liver_56,liver,195,is_function_present,Is there any organ that synthesizes all major blood clotting factors and albumin in this image?,Yes,"(0.8027340173721313, 0.8027340173721313)"
liver_56,cancer,195,average_intensity,What is the average intensity of liver tumor(s) in this image?,120,"(0.8027340173721313, 0.8027340173721313)"
liver_18,cancer,421,count,How many liver tumors are there in this image?,2,"(0.921875, 0.921875)"
liver_63,liver,81,average_intensity,What is the average intensity of the liver in this image?,100,"(0.7402340173721313, 0.7402340173721313)"
liver_54,liver,77,is_function_present,Is there any organ that converts toxic ammonia into less harmful urea in this image?,Yes,"(0.828125, 0.828125)"
liver_5,cancer,458,surface_area,What is the total surface area of the cancer in mm2 in this image?,76,"(0.96875, 0.96875)"
liver_86,cancer,496,is_present_target,Does this image display any liver tumor?,Yes,"(0.68359375, 0.68359375)"
liver_94,liver,577,is_healthy,Is the liver healthy in this image?,No,"(0.837890625, 0.837890625)"
liver_101,cancer,505,count,How many liver tumors are there in this image?,2,"(0.705078125, 0.705078125)"
liver_92,cancer,464,diameter,What is the diameter of the largest liver tumor in mm in this image?,11,"(0.6710000038146973, 0.6710000038146973)"
liver_103,cancer,529,is_larger,Is the total surface of liver tumor(s) larger than that of the liver in this image?,No,"(0.85546875, 0.85546875)"
liver_18,cancer,421,is_present_target,Does this image display any liver tumor?,Yes,"(0.921875, 0.921875)"
liver_103,cancer,529,count,How many liver tumors are there in this image?,1,"(0.85546875, 0.85546875)"
liver_7,liver,373,diameter,What is the diameter of the liver in mm in this image?,136,"(0.748046875, 0.748046875)"
liver_87,cancer,448,is_present_target,Does this image display any liver tumor?,No,"(0.8539999723434448, 0.8539999723434448)"
liver_36,liver,34,is_function_present,Is there any organ that produces bile for fat digestion in this image?,Yes,"(1.0, 1.0)"
liver_126,liver,226,average_intensity,What is the average intensity of the liver in this image?,115,"(0.6640625, 0.6640625)"
liver_126,cancer,226,surface_area,What is the total surface area of the cancer in mm2 in this image?,220,"(0.6640625, 0.6640625)"
liver_52,liver,134,is_function_present,Is there any organ that filters blood from the digestive tract (portal blood) for detoxification in this image?,Yes,"(0.8359379768371582, 0.8359379768371582)"
liver_45,liver,34,is_healthy,Is the liver healthy in this image?,No,"(1.0, 1.0)"
liver_28,cancer,63,average_intensity,What is the average intensity of liver tumor(s) in this image?,112,"(1.0, 1.0)"
liver_4,cancer,463,surface_area,What is the total surface area of the cancer in mm2 in this image?,11861,"(0.9023439884185791, 0.9023439884185791)"
liver_128,liver,529,surface_area,What is the total surface area of the liver in mm2 in this image?,22171,"(0.78125, 0.78125)"
liver_52,cancer,134,diameter,What is the diameter of the largest liver tumor in mm in this image?,46,"(0.8359379768371582, 0.8359379768371582)"
liver_71,cancer,75,is_present_target,Does this image display any liver tumor?,Yes,"(0.556640625, 0.556640625)"
liver_22,cancer,132,is_present_target,Does this image display any liver tumor?,Yes,"(0.9765620231628418, 0.9765620231628418)"
liver_51,liver,136,is_healthy,Is the liver healthy in this image?,No,"(0.90234375, 0.90234375)"
liver_42,liver,106,diameter,What is the diameter of the liver in mm in this image?,198,"(1.0, 1.0)"
liver_73,cancer,98,count,How many liver tumors are there in this image?,1,"(0.951171875, 0.951171875)"
liver_16,cancer,423,count,How many liver tumors are there in this image?,3,"(0.703125, 0.703125)"
liver_127,liver,631,is_function_present,Is there any organ that filters blood from the digestive tract (portal blood) for detoxification in this image?,Yes,"(0.771484375, 0.771484375)"
liver_94,cancer,577,is_present_target,Does this image display any liver tumor?,Yes,"(0.837890625, 0.837890625)"
liver_18,cancer,421,is_larger,Is the total surface of liver tumor(s) larger than that of the liver in this image?,No,"(0.921875, 0.921875)"
liver_121,cancer,260,is_present_target,Does this image display any liver tumor?,Yes,"(0.794921875, 0.794921875)"
liver_43,cancer,59,average_intensity,What is the average intensity of liver tumor(s) in this image?,25,"(1.0, 1.0)"
liver_53,cancer,64,surface_area,What is the total surface area of the cancer in mm2 in this image?,323,"(0.8500000238418579, 0.8500000238418579)"
liver_28,liver,63,surface_area,What is the total surface area of the liver in mm2 in this image?,22073,"(1.0, 1.0)"
liver_37,cancer,101,average_intensity,What is the average intensity of liver tumor(s) in this image?,102,"(1.0, 1.0)"
liver_33,cancer,100,is_larger,Is the total surface of liver tumor(s) larger than that of the liver in this image?,No,"(1.0, 1.0)"
liver_31,cancer,62,average_intensity,What is the average intensity of liver tumor(s) in this image?,106,"(1.0, 1.0)"
liver_68,cancer,130,is_brighter,Is liver tumor brighter than the liver in this image?,No,"(0.6660159826278687, 0.6660159826278687)"
liver_79,cancer,116,average_intensity,What is the average intensity of liver tumor(s) in this image?,95,"(0.796875, 0.796875)"
liver_63,cancer,81,is_larger,Is the total surface of liver tumor(s) larger than that of the liver in this image?,No,"(0.7402340173721313, 0.7402340173721313)"
liver_15,liver,327,is_function_present,Is there any organ that converts toxic ammonia into less harmful urea in this image?,Yes,"(0.654296875, 0.654296875)"
liver_36,cancer,34,is_larger,Is the total surface of liver tumor(s) larger than that of the liver in this image?,No,"(1.0, 1.0)"
liver_101,liver,505,surface_area,What is the total surface area of the liver in mm2 in this image?,17303,"(0.705078125, 0.705078125)"
liver_51,liver,136,is_function_present,Is there any organ that produces bile for fat digestion in this image?,Yes,"(0.90234375, 0.90234375)"
liver_5,cancer,458,count,How many liver tumors are there in this image?,0,"(0.96875, 0.96875)"
liver_112,liver,420,is_function_present,Is there any organ that produces bile for fat digestion in this image?,Yes,"(0.6399999856948853, 0.6399999856948853)"
liver_90,cancer,440,is_brighter,Is liver tumor brighter than the liver in this image?,No,"(0.781000018119812, 0.781000018119812)"
liver_121,cancer,260,surface_area,What is the total surface area of the cancer in mm2 in this image?,187,"(0.794921875, 0.794921875)"
liver_129,cancer,159,average_intensity,What is the average intensity of liver tumor(s) in this image?,96,"(0.705078125, 0.705078125)"
liver_50,cancer,136,diameter,What is the diameter of the largest liver tumor in mm in this image?,27,"(0.90625, 0.90625)"
liver_41,cancer,56,is_present_target,Does this image display any liver tumor?,No,"(1.0, 1.0)"
liver_27,cancer,428,count,How many liver tumors are there in this image?,2,"(0.73828125, 0.73828125)"
liver_71,cancer,75,count,How many liver tumors are there in this image?,2,"(0.556640625, 0.556640625)"
liver_56,liver,195,surface_area,What is the total surface area of the liver in mm2 in this image?,21209,"(0.8027340173721313, 0.8027340173721313)"
liver_22,liver,132,is_function_present,Is there any organ that converts toxic ammonia into less harmful urea in this image?,Yes,"(0.9765620231628418, 0.9765620231628418)"
liver_121,cancer,260,count,How many liver tumors are there in this image?,1,"(0.794921875, 0.794921875)"
liver_62,cancer,114,is_brighter,Is liver tumor brighter than the liver in this image?,No,"(0.6445310115814209, 0.6445310115814209)"
liver_129,liver,159,surface_area,What is the total surface area of the liver in mm2 in this image?,18289,"(0.705078125, 0.705078125)"
liver_14,cancer,354,is_larger,Is the total surface of liver tumor(s) larger than that of the liver in this image?,No,"(0.685546875, 0.685546875)"
liver_74,liver,79,is_function_present,Is there any organ that converts toxic ammonia into less harmful urea in this image?,Yes,"(0.8261719942092896, 0.8261719942092896)"
liver_121,liver,260,average_intensity,What is the average intensity of the liver in this image?,78,"(0.794921875, 0.794921875)"
liver_15,cancer,327,is_present_target,Does this image display any liver tumor?,Yes,"(0.654296875, 0.654296875)"
liver_36,cancer,34,is_brighter,Is liver tumor brighter than the liver in this image?,No,"(1.0, 1.0)"
liver_49,liver,151,diameter,What is the diameter of the liver in mm in this image?,195,"(0.955078125, 0.955078125)"
liver_121,cancer,260,is_larger,Is the total surface of liver tumor(s) larger than that of the liver in this image?,No,"(0.794921875, 0.794921875)"
liver_118,cancer,251,is_larger,Is the total surface of liver tumor(s) larger than that of the liver in this image?,No,"(0.744140625, 0.744140625)"
liver_95,cancer,506,count,How many liver tumors are there in this image?,1,"(0.7379999756813049, 0.7379999756813049)"
liver_52,cancer,134,is_present_target,Does this image display any liver tumor?,Yes,"(0.8359379768371582, 0.8359379768371582)"
liver_44,cancer,97,surface_area,What is the total surface area of the cancer in mm2 in this image?,9643,"(1.0, 1.0)"
liver_56,cancer,195,is_present_target,Does this image display any liver tumor?,Yes,"(0.8027340173721313, 0.8027340173721313)"
liver_59,liver,143,is_healthy,Is the liver healthy in this image?,No,"(0.6835939884185791, 0.6835939884185791)"
liver_81,cancer,246,average_intensity,What is the average intensity of liver tumor(s) in this image?,95,"(0.703125, 0.703125)"
liver_60,cancer,194,count,How many liver tumors are there in this image?,1,"(0.7988280057907104, 0.7988280057907104)"
liver_88,cancer,447,diameter,What is the diameter of the largest liver tumor in mm in this image?,81,"(0.7559999823570251, 0.7559999823570251)"
liver_14,cancer,354,is_present_target,Does this image display any liver tumor?,Yes,"(0.685546875, 0.685546875)"
liver_90,cancer,440,is_larger,Is the total surface of liver tumor(s) larger than that of the liver in this image?,No,"(0.781000018119812, 0.781000018119812)"
liver_83,cancer,572,surface_area,What is the total surface area of the cancer in mm2 in this image?,13,"(0.7421875, 0.7421875)"
liver_26,cancer,318,is_larger,Is the total surface of liver tumor(s) larger than that of the liver in this image?,No,"(0.86328125, 0.86328125)"
liver_109,liver,450,is_function_present,Is there any organ that synthesizes all major blood clotting factors and albumin in this image?,Yes,"(0.7630000114440918, 0.7630000114440918)"
liver_104,cancer,355,count,How many liver tumors are there in this image?,1,"(0.781000018119812, 0.781000018119812)"
liver_109,cancer,450,is_larger,Is the total surface of liver tumor(s) larger than that of the liver in this image?,No,"(0.7630000114440918, 0.7630000114440918)"
liver_87,liver,448,is_function_present,Is there any organ that filters blood from the digestive tract (portal blood) for detoxification in this image?,Yes,"(0.8539999723434448, 0.8539999723434448)"
liver_72,liver,71,is_healthy,Is the liver healthy in this image?,No,"(0.6777340173721313, 0.6777340173721313)"
