scan_idx_1,scan_idx_2,slice_idx_1,slice_idx_2,label,question_type,question,answer,spacing_info_1,spacing_info_2
liver_17,liver_127,404,631,liver,is_bright_compare,Is liver brighter in the first image than the second image?,Yes,"(0.7441409826278687, 0.7441409826278687)","(0.771484375, 0.771484375)"
liver_98,liver_122,569,221,cancer,surface_evolution,What is the difference in total surface area in mm2 of liver tumor between the first and second image?,-3311,"(0.734375, 0.734375)","(0.689453125, 0.689453125)"
liver_45,liver_10,34,341,cancer,surface_evolution,What is the difference in total surface area in mm2 of liver tumor between the first and second image?,-288,"(1.0, 1.0)","(0.76953125, 0.76953125)"
liver_73,liver_109,98,450,liver,is_bright_compare,Is liver brighter in the first image than the second image?,Yes,"(0.951171875, 0.951171875)","(0.7630000114440918, 0.7630000114440918)"
liver_120,liver_104,263,355,liver,diameter_evolution,What is the difference in diameter length of liver between the first and second image?,81,"(0.744140625, 0.744140625)","(0.781000018119812, 0.781000018119812)"
liver_15,liver_33,327,100,liver,surface_evolution,What is the difference in total surface area in mm2 of liver between the first and second image?,1184,"(0.654296875, 0.654296875)","(1.0, 1.0)"
liver_108,liver_86,535,496,liver,surface_evolution,What is the difference in total surface area in mm2 of liver between the first and second image?,797,"(0.7289999723434448, 0.7289999723434448)","(0.68359375, 0.68359375)"
liver_30,liver_22,140,132,liver,is_larger_comparison,Is liver surface bigger in the first image than the second image?,Yes,"(1.0, 1.0)","(0.9765620231628418, 0.9765620231628418)"
liver_97,liver_109,574,450,cancer,is_present_target_both,Is there liver tumor in both images?,Yes,"(0.72265625, 0.72265625)","(0.7630000114440918, 0.7630000114440918)"
liver_76,liver_21,146,388,liver,diameter_evolution,What is the difference in diameter length of liver between the first and second image?,32,"(0.7421879768371582, 0.7421879768371582)","(0.767578125, 0.767578125)"
liver_101,liver_56,505,195,liver,is_larger_comparison,Is liver surface bigger in the first image than the second image?,No,"(0.705078125, 0.705078125)","(0.8027340173721313, 0.8027340173721313)"
liver_128,liver_85,529,417,cancer,diameter_evolution,What is the difference in diameter (in mm) between the largest liver tumor in the first image and the largest one in the second image?,-24,"(0.78125, 0.78125)","(0.64453125, 0.64453125)"
liver_28,liver_59,63,143,cancer,diameter_evolution,What is the difference in diameter (in mm) between the largest liver tumor in the first image and the largest one in the second image?,-124,"(1.0, 1.0)","(0.6835939884185791, 0.6835939884185791)"
liver_107,liver_21,380,388,cancer,is_present_target_both,Is there liver tumor in both images?,Yes,"(0.7820000052452087, 0.7820000052452087)","(0.767578125, 0.767578125)"
liver_30,liver_116,140,583,liver,is_bright_compare,Is liver brighter in the first image than the second image?,Yes,"(1.0, 1.0)","(0.7890625, 0.7890625)"
liver_52,liver_109,134,450,cancer,diameter_evolution,What is the difference in diameter (in mm) between the largest liver tumor in the first image and the largest one in the second image?,-2,"(0.8359379768371582, 0.8359379768371582)","(0.7630000114440918, 0.7630000114440918)"
liver_124,liver_128,235,529,liver,is_bright_compare,Is liver brighter in the first image than the second image?,Yes,"(0.69921875, 0.69921875)","(0.78125, 0.78125)"
liver_60,liver_129,194,159,cancer,diameter_evolution,What is the difference in diameter (in mm) between the largest liver tumor in the first image and the largest one in the second image?,35,"(0.7988280057907104, 0.7988280057907104)","(0.705078125, 0.705078125)"
liver_128,liver_80,529,162,cancer,is_bright_compare,Is liver tumor brighter in the first image than the second image?,No,"(0.78125, 0.78125)","(0.68359375, 0.68359375)"
liver_83,liver_60,572,194,cancer,is_bright_compare,Is liver tumor brighter in the first image than the second image?,No,"(0.7421875, 0.7421875)","(0.7988280057907104, 0.7988280057907104)"
liver_90,liver_24,440,198,liver,is_bright_compare,Is liver brighter in the first image than the second image?,Yes,"(0.781000018119812, 0.781000018119812)","(0.669921875, 0.669921875)"
liver_43,liver_114,59,423,liver,surface_evolution,What is the difference in total surface area in mm2 of liver between the first and second image?,-5080,"(1.0, 1.0)","(0.7820000052452087, 0.7820000052452087)"
liver_76,liver_21,146,388,cancer,is_bright_compare,Is liver tumor brighter in the first image than the second image?,No,"(0.7421879768371582, 0.7421879768371582)","(0.767578125, 0.767578125)"
liver_129,liver_113,159,516,cancer,is_bright_compare,Is liver tumor brighter in the first image than the second image?,No,"(0.705078125, 0.705078125)","(0.781000018119812, 0.781000018119812)"
liver_54,liver_58,77,167,liver,is_bright_compare,Is liver brighter in the first image than the second image?,No,"(0.828125, 0.828125)","(0.6835939884185791, 0.6835939884185791)"
liver_58,liver_81,167,246,liver,is_present_target_both,Is there liver in both images?,Yes,"(0.6835939884185791, 0.6835939884185791)","(0.703125, 0.703125)"
liver_17,liver_95,404,506,cancer,is_present_target_both,Is there liver tumor in both images?,Yes,"(0.7441409826278687, 0.7441409826278687)","(0.7379999756813049, 0.7379999756813049)"
liver_104,liver_3,355,361,liver,is_bright_compare,Is liver brighter in the first image than the second image?,No,"(0.781000018119812, 0.781000018119812)","(0.693359375, 0.693359375)"
liver_76,liver_107,146,380,liver,is_present_target_both,Is there liver in both images?,Yes,"(0.7421879768371582, 0.7421879768371582)","(0.7820000052452087, 0.7820000052452087)"
liver_71,liver_100,75,584,cancer,is_present_target_both,Is there liver tumor in both images?,Yes,"(0.556640625, 0.556640625)","(0.69921875, 0.69921875)"
liver_91,liver_8,375,379,liver,is_larger_comparison,Is liver surface bigger in the first image than the second image?,No,"(0.8579999804496765, 0.8579999804496765)","(0.84765625, 0.84765625)"
liver_112,liver_57,420,326,liver,is_present_target_both,Is there liver in both images?,Yes,"(0.6399999856948853, 0.6399999856948853)","(0.703125, 0.703125)"
liver_112,liver_73,420,98,liver,is_bright_compare,Is liver brighter in the first image than the second image?,Yes,"(0.6399999856948853, 0.6399999856948853)","(0.951171875, 0.951171875)"
liver_103,liver_46,529,50,cancer,surface_evolution,What is the difference in total surface area in mm2 of liver tumor between the first and second image?,1138,"(0.85546875, 0.85546875)","(1.0, 1.0)"
liver_10,liver_9,341,386,cancer,surface_evolution,What is the difference in total surface area in mm2 of liver tumor between the first and second image?,55,"(0.76953125, 0.76953125)","(0.8203125, 0.8203125)"
liver_84,liver_86,549,496,cancer,is_bright_compare,Is liver tumor brighter in the first image than the second image?,No,"(0.7578125, 0.7578125)","(0.68359375, 0.68359375)"
liver_110,liver_59,488,143,liver,is_bright_compare,Is liver brighter in the first image than the second image?,Yes,"(0.7200000286102295, 0.7200000286102295)","(0.6835939884185791, 0.6835939884185791)"
liver_40,liver_64,83,189,cancer,is_present_target_both,Is there liver tumor in both images?,Yes,"(1.0, 1.0)","(0.7773439884185791, 0.7773439884185791)"
liver_10,liver_97,341,574,liver,diameter_evolution,What is the difference in diameter length of liver between the first and second image?,111,"(0.76953125, 0.76953125)","(0.72265625, 0.72265625)"
liver_109,liver_40,450,83,cancer,is_present_target_both,Is there liver tumor in both images?,Yes,"(0.7630000114440918, 0.7630000114440918)","(1.0, 1.0)"
liver_97,liver_52,574,134,liver,diameter_evolution,What is the difference in diameter length of liver between the first and second image?,-44,"(0.72265625, 0.72265625)","(0.8359379768371582, 0.8359379768371582)"
liver_24,liver_100,198,584,liver,diameter_evolution,What is the difference in diameter length of liver between the first and second image?,47,"(0.669921875, 0.669921875)","(0.69921875, 0.69921875)"
liver_108,liver_96,535,607,cancer,is_present_target_both,Is there liver tumor in both images?,Yes,"(0.7289999723434448, 0.7289999723434448)","(0.74609375, 0.74609375)"
liver_7,liver_110,373,488,liver,is_larger_comparison,Is liver surface bigger in the first image than the second image?,No,"(0.748046875, 0.748046875)","(0.7200000286102295, 0.7200000286102295)"
liver_52,liver_117,134,462,cancer,diameter_evolution,What is the difference in diameter (in mm) between the largest liver tumor in the first image and the largest one in the second image?,20,"(0.8359379768371582, 0.8359379768371582)","(0.6800000071525574, 0.6800000071525574)"
liver_116,liver_84,583,549,liver,diameter_evolution,What is the difference in diameter length of liver between the first and second image?,-144,"(0.7890625, 0.7890625)","(0.7578125, 0.7578125)"
liver_86,liver_130,496,505,cancer,surface_evolution,What is the difference in total surface area in mm2 of liver tumor between the first and second image?,6017,"(0.68359375, 0.68359375)","(0.68359375, 0.68359375)"
liver_86,liver_3,496,361,cancer,diameter_evolution,What is the difference in diameter (in mm) between the largest liver tumor in the first image and the largest one in the second image?,-2,"(0.68359375, 0.68359375)","(0.693359375, 0.693359375)"
liver_2,liver_99,457,549,cancer,is_present_target_both,Is there liver tumor in both images?,Yes,"(0.775390625, 0.775390625)","(0.78125, 0.78125)"
liver_30,liver_84,140,549,cancer,is_bright_compare,Is liver tumor brighter in the first image than the second image?,Yes,"(1.0, 1.0)","(0.7578125, 0.7578125)"
liver_75,liver_16,70,423,cancer,is_larger_comparison,Is total liver tumor surface bigger in the first image than the second image?,No,"(0.7578125, 0.7578125)","(0.703125, 0.703125)"
liver_21,liver_74,388,79,cancer,is_present_target_both,Is there liver tumor in both images?,Yes,"(0.767578125, 0.767578125)","(0.8261719942092896, 0.8261719942092896)"
liver_111,liver_103,351,529,liver,is_present_target_both,Is there liver in both images?,Yes,"(0.7820000052452087, 0.7820000052452087)","(0.85546875, 0.85546875)"
liver_98,liver_122,569,221,cancer,is_larger_comparison,Is total liver tumor surface bigger in the first image than the second image?,Yes,"(0.734375, 0.734375)","(0.689453125, 0.689453125)"
liver_117,liver_68,462,130,liver,surface_evolution,What is the difference in total surface area in mm2 of liver between the first and second image?,1628,"(0.6800000071525574, 0.6800000071525574)","(0.6660159826278687, 0.6660159826278687)"
liver_50,liver_95,136,506,liver,is_bright_compare,Is liver brighter in the first image than the second image?,Yes,"(0.90625, 0.90625)","(0.7379999756813049, 0.7379999756813049)"
liver_94,liver_130,577,505,liver,is_bright_compare,Is liver brighter in the first image than the second image?,No,"(0.837890625, 0.837890625)","(0.68359375, 0.68359375)"
liver_24,liver_12,198,415,cancer,is_bright_compare,Is liver tumor brighter in the first image than the second image?,Yes,"(0.669921875, 0.669921875)","(0.654296875, 0.654296875)"
liver_6,liver_8,353,379,liver,surface_evolution,What is the difference in total surface area in mm2 of liver between the first and second image?,143,"(0.873046875, 0.873046875)","(0.84765625, 0.84765625)"
liver_97,liver_52,574,134,cancer,is_larger_comparison,Is total liver tumor surface bigger in the first image than the second image?,Yes,"(0.72265625, 0.72265625)","(0.8359379768371582, 0.8359379768371582)"
liver_84,liver_122,549,221,cancer,is_larger_comparison,Is total liver tumor surface bigger in the first image than the second image?,Yes,"(0.7578125, 0.7578125)","(0.689453125, 0.689453125)"
liver_111,liver_46,351,50,liver,diameter_evolution,What is the difference in diameter length of liver between the first and second image?,27,"(0.7820000052452087, 0.7820000052452087)","(1.0, 1.0)"
liver_60,liver_56,194,195,liver,is_larger_comparison,Is liver surface bigger in the first image than the second image?,Yes,"(0.7988280057907104, 0.7988280057907104)","(0.8027340173721313, 0.8027340173721313)"
liver_36,liver_126,34,226,liver,is_bright_compare,Is liver brighter in the first image than the second image?,No,"(1.0, 1.0)","(0.6640625, 0.6640625)"
liver_24,liver_26,198,318,liver,is_bright_compare,Is liver brighter in the first image than the second image?,Yes,"(0.669921875, 0.669921875)","(0.86328125, 0.86328125)"
liver_3,liver_67,361,126,cancer,is_bright_compare,Is liver tumor brighter in the first image than the second image?,No,"(0.693359375, 0.693359375)","(0.7109379768371582, 0.7109379768371582)"
liver_74,liver_37,79,101,cancer,is_bright_compare,Is liver tumor brighter in the first image than the second image?,Yes,"(0.8261719942092896, 0.8261719942092896)","(1.0, 1.0)"
liver_69,liver_104,202,355,liver,diameter_evolution,What is the difference in diameter length of liver between the first and second image?,13,"(0.75390625, 0.75390625)","(0.781000018119812, 0.781000018119812)"
liver_86,liver_16,496,423,cancer,diameter_evolution,What is the difference in diameter (in mm) between the largest liver tumor in the first image and the largest one in the second image?,58,"(0.68359375, 0.68359375)","(0.703125, 0.703125)"
liver_97,liver_23,574,337,liver,is_present_target_both,Is there liver in both images?,Yes,"(0.72265625, 0.72265625)","(0.66015625, 0.66015625)"
liver_94,liver_118,577,251,cancer,is_bright_compare,Is liver tumor brighter in the first image than the second image?,Yes,"(0.837890625, 0.837890625)","(0.744140625, 0.744140625)"
liver_29,liver_46,69,50,cancer,is_bright_compare,Is liver tumor brighter in the first image than the second image?,Yes,"(1.0, 1.0)","(1.0, 1.0)"
liver_47,liver_26,112,318,cancer,is_present_target_both,Is there liver tumor in both images?,No,"(1.0, 1.0)","(0.86328125, 0.86328125)"
liver_25,liver_58,521,167,liver,diameter_evolution,What is the difference in diameter length of liver between the first and second image?,-21,"(0.767578125, 0.767578125)","(0.6835939884185791, 0.6835939884185791)"
liver_118,liver_82,251,400,cancer,diameter_evolution,What is the difference in diameter (in mm) between the largest liver tumor in the first image and the largest one in the second image?,-41,"(0.744140625, 0.744140625)","(0.625, 0.625)"
liver_26,liver_100,318,584,cancer,is_larger_comparison,Is total liver tumor surface bigger in the first image than the second image?,No,"(0.86328125, 0.86328125)","(0.69921875, 0.69921875)"
liver_123,liver_127,262,631,cancer,is_larger_comparison,Is total liver tumor surface bigger in the first image than the second image?,Yes,"(0.748046875, 0.748046875)","(0.771484375, 0.771484375)"
liver_84,liver_122,549,221,cancer,surface_evolution,What is the difference in total surface area in mm2 of liver tumor between the first and second image?,-3070,"(0.7578125, 0.7578125)","(0.689453125, 0.689453125)"
liver_39,liver_101,50,505,liver,is_bright_compare,Is liver brighter in the first image than the second image?,Yes,"(1.0, 1.0)","(0.705078125, 0.705078125)"
liver_32,liver_59,69,143,cancer,is_present_target_both,Is there liver tumor in both images?,No,"(1.0, 1.0)","(0.6835939884185791, 0.6835939884185791)"
liver_117,liver_64,462,189,cancer,is_bright_compare,Is liver tumor brighter in the first image than the second image?,Yes,"(0.6800000071525574, 0.6800000071525574)","(0.7773439884185791, 0.7773439884185791)"
liver_110,liver_102,488,504,liver,diameter_evolution,What is the difference in diameter length of liver between the first and second image?,-192,"(0.7200000286102295, 0.7200000286102295)","(0.716796875, 0.716796875)"
liver_16,liver_90,423,440,liver,is_present_target_both,Is there liver in both images?,Yes,"(0.703125, 0.703125)","(0.781000018119812, 0.781000018119812)"
liver_23,liver_15,337,327,cancer,surface_evolution,What is the difference in total surface area in mm2 of liver tumor between the first and second image?,-1041,"(0.66015625, 0.66015625)","(0.654296875, 0.654296875)"
liver_23,liver_105,337,493,cancer,is_present_target_both,Is there liver tumor in both images?,No,"(0.66015625, 0.66015625)","(0.84375, 0.84375)"
liver_75,liver_114,70,423,liver,is_larger_comparison,Is liver surface bigger in the first image than the second image?,Yes,"(0.7578125, 0.7578125)","(0.7820000052452087, 0.7820000052452087)"
liver_55,liver_102,167,504,cancer,diameter_evolution,What is the difference in diameter (in mm) between the largest liver tumor in the first image and the largest one in the second image?,15,"(0.6660159826278687, 0.6660159826278687)","(0.716796875, 0.716796875)"
liver_18,liver_108,421,535,liver,is_present_target_both,Is there liver in both images?,Yes,"(0.921875, 0.921875)","(0.7289999723434448, 0.7289999723434448)"
liver_10,liver_128,341,529,liver,is_bright_compare,Is liver brighter in the first image than the second image?,Yes,"(0.76953125, 0.76953125)","(0.78125, 0.78125)"
liver_100,liver_10,584,341,liver,is_larger_comparison,Is liver surface bigger in the first image than the second image?,Yes,"(0.69921875, 0.69921875)","(0.76953125, 0.76953125)"
liver_92,liver_109,464,450,cancer,surface_evolution,What is the difference in total surface area in mm2 of liver tumor between the first and second image?,777,"(0.6710000038146973, 0.6710000038146973)","(0.7630000114440918, 0.7630000114440918)"
liver_37,liver_25,101,521,cancer,is_bright_compare,Is liver tumor brighter in the first image than the second image?,No,"(1.0, 1.0)","(0.767578125, 0.767578125)"
liver_49,liver_112,151,420,liver,surface_evolution,What is the difference in total surface area in mm2 of liver between the first and second image?,362,"(0.955078125, 0.955078125)","(0.6399999856948853, 0.6399999856948853)"
liver_94,liver_3,577,361,cancer,surface_evolution,What is the difference in total surface area in mm2 of liver tumor between the first and second image?,-986,"(0.837890625, 0.837890625)","(0.693359375, 0.693359375)"
liver_6,liver_39,353,50,cancer,is_bright_compare,Is liver tumor brighter in the first image than the second image?,No,"(0.873046875, 0.873046875)","(1.0, 1.0)"
liver_3,liver_43,361,59,liver,is_larger_comparison,Is liver surface bigger in the first image than the second image?,No,"(0.693359375, 0.693359375)","(1.0, 1.0)"
liver_83,liver_8,572,379,cancer,surface_evolution,What is the difference in total surface area in mm2 of liver tumor between the first and second image?,479,"(0.7421875, 0.7421875)","(0.84765625, 0.84765625)"
liver_11,liver_56,416,195,liver,is_present_target_both,Is there liver in both images?,Yes,"(0.671875, 0.671875)","(0.8027340173721313, 0.8027340173721313)"
liver_103,liver_83,529,572,cancer,is_present_target_both,Is there liver tumor in both images?,Yes,"(0.85546875, 0.85546875)","(0.7421875, 0.7421875)"
liver_92,liver_85,464,417,cancer,diameter_evolution,What is the difference in diameter (in mm) between the largest liver tumor in the first image and the largest one in the second image?,12,"(0.6710000038146973, 0.6710000038146973)","(0.64453125, 0.64453125)"
liver_83,liver_8,572,379,cancer,is_larger_comparison,Is total liver tumor surface bigger in the first image than the second image?,No,"(0.7421875, 0.7421875)","(0.84765625, 0.84765625)"
liver_121,liver_50,260,136,cancer,is_present_target_both,Is there liver tumor in both images?,Yes,"(0.794921875, 0.794921875)","(0.90625, 0.90625)"
liver_25,liver_4,521,463,cancer,is_larger_comparison,Is total liver tumor surface bigger in the first image than the second image?,No,"(0.767578125, 0.767578125)","(0.9023439884185791, 0.9023439884185791)"
liver_39,liver_48,50,146,cancer,is_larger_comparison,Is total liver tumor surface bigger in the first image than the second image?,Yes,"(1.0, 1.0)","(0.9765620231628418, 0.9765620231628418)"
liver_24,liver_71,198,75,cancer,surface_evolution,What is the difference in total surface area in mm2 of liver tumor between the first and second image?,4563,"(0.669921875, 0.669921875)","(0.556640625, 0.556640625)"
liver_98,liver_3,569,361,cancer,diameter_evolution,What is the difference in diameter (in mm) between the largest liver tumor in the first image and the largest one in the second image?,-63,"(0.734375, 0.734375)","(0.693359375, 0.693359375)"
liver_94,liver_3,577,361,cancer,is_larger_comparison,Is total liver tumor surface bigger in the first image than the second image?,Yes,"(0.837890625, 0.837890625)","(0.693359375, 0.693359375)"
liver_37,liver_29,101,69,liver,is_present_target_both,Is there liver in both images?,Yes,"(1.0, 1.0)","(1.0, 1.0)"
liver_97,liver_52,574,134,cancer,surface_evolution,What is the difference in total surface area in mm2 of liver tumor between the first and second image?,-3626,"(0.72265625, 0.72265625)","(0.8359379768371582, 0.8359379768371582)"
liver_17,liver_13,404,363,cancer,is_larger_comparison,Is total liver tumor surface bigger in the first image than the second image?,Yes,"(0.7441409826278687, 0.7441409826278687)","(0.84765625, 0.84765625)"
liver_20,liver_82,477,400,liver,is_bright_compare,Is liver brighter in the first image than the second image?,No,"(0.802734375, 0.802734375)","(0.625, 0.625)"
liver_6,liver_8,353,379,liver,is_larger_comparison,Is liver surface bigger in the first image than the second image?,No,"(0.873046875, 0.873046875)","(0.84765625, 0.84765625)"
liver_49,liver_9,151,386,cancer,is_bright_compare,Is liver tumor brighter in the first image than the second image?,Yes,"(0.955078125, 0.955078125)","(0.8203125, 0.8203125)"
liver_30,liver_22,140,132,liver,surface_evolution,What is the difference in total surface area in mm2 of liver between the first and second image?,-25124,"(1.0, 1.0)","(0.9765620231628418, 0.9765620231628418)"
liver_70,liver_25,286,521,liver,surface_evolution,What is the difference in total surface area in mm2 of liver between the first and second image?,2937,"(0.5976560115814209, 0.5976560115814209)","(0.767578125, 0.767578125)"
liver_82,liver_36,400,34,liver,is_larger_comparison,Is liver surface bigger in the first image than the second image?,Yes,"(0.625, 0.625)","(1.0, 1.0)"
liver_12,liver_26,415,318,cancer,is_larger_comparison,Is total liver tumor surface bigger in the first image than the second image?,No,"(0.654296875, 0.654296875)","(0.86328125, 0.86328125)"
liver_124,liver_128,235,529,liver,is_larger_comparison,Is liver surface bigger in the first image than the second image?,No,"(0.69921875, 0.69921875)","(0.78125, 0.78125)"
liver_81,liver_72,246,71,cancer,diameter_evolution,What is the difference in diameter (in mm) between the largest liver tumor in the first image and the largest one in the second image?,15,"(0.703125, 0.703125)","(0.6777340173721313, 0.6777340173721313)"
liver_7,liver_110,373,488,liver,is_bright_compare,Is liver brighter in the first image than the second image?,No,"(0.748046875, 0.748046875)","(0.7200000286102295, 0.7200000286102295)"
liver_36,liver_26,34,318,liver,is_larger_comparison,Is liver surface bigger in the first image than the second image?,No,"(1.0, 1.0)","(0.86328125, 0.86328125)"
liver_103,liver_46,529,50,cancer,is_larger_comparison,Is total liver tumor surface bigger in the first image than the second image?,No,"(0.85546875, 0.85546875)","(1.0, 1.0)"
liver_128,liver_92,529,464,cancer,is_larger_comparison,Is total liver tumor surface bigger in the first image than the second image?,Yes,"(0.78125, 0.78125)","(0.6710000038146973, 0.6710000038146973)"
liver_57,liver_61,326,149,liver,is_present_target_both,Is there liver in both images?,Yes,"(0.703125, 0.703125)","(0.7578120231628418, 0.7578120231628418)"
liver_75,liver_114,70,423,liver,surface_evolution,What is the difference in total surface area in mm2 of liver between the first and second image?,-11888,"(0.7578125, 0.7578125)","(0.7820000052452087, 0.7820000052452087)"
liver_50,liver_17,136,404,cancer,is_larger_comparison,Is total liver tumor surface bigger in the first image than the second image?,No,"(0.90625, 0.90625)","(0.7441409826278687, 0.7441409826278687)"
liver_96,liver_122,607,221,liver,is_bright_compare,Is liver brighter in the first image than the second image?,Yes,"(0.74609375, 0.74609375)","(0.689453125, 0.689453125)"
liver_12,liver_63,415,81,liver,diameter_evolution,What is the difference in diameter length of liver between the first and second image?,-3,"(0.654296875, 0.654296875)","(0.7402340173721313, 0.7402340173721313)"
liver_79,liver_130,116,505,cancer,is_bright_compare,Is liver tumor brighter in the first image than the second image?,No,"(0.796875, 0.796875)","(0.68359375, 0.68359375)"
liver_130,liver_43,505,59,cancer,surface_evolution,What is the difference in total surface area in mm2 of liver tumor between the first and second image?,-5245,"(0.68359375, 0.68359375)","(1.0, 1.0)"
liver_127,liver_25,631,521,liver,is_bright_compare,Is liver brighter in the first image than the second image?,No,"(0.771484375, 0.771484375)","(0.767578125, 0.767578125)"
liver_96,liver_67,607,126,liver,is_present_target_both,Is there liver in both images?,Yes,"(0.74609375, 0.74609375)","(0.7109379768371582, 0.7109379768371582)"
liver_10,liver_9,341,386,cancer,is_larger_comparison,Is total liver tumor surface bigger in the first image than the second image?,No,"(0.76953125, 0.76953125)","(0.8203125, 0.8203125)"
liver_120,liver_53,263,64,liver,surface_evolution,What is the difference in total surface area in mm2 of liver between the first and second image?,-503,"(0.744140625, 0.744140625)","(0.8500000238418579, 0.8500000238418579)"
liver_75,liver_16,70,423,cancer,surface_evolution,What is the difference in total surface area in mm2 of liver tumor between the first and second image?,3948,"(0.7578125, 0.7578125)","(0.703125, 0.703125)"
liver_94,liver_43,577,59,liver,is_present_target_both,Is there liver in both images?,Yes,"(0.837890625, 0.837890625)","(1.0, 1.0)"
liver_8,liver_129,379,159,liver,is_bright_compare,Is liver brighter in the first image than the second image?,No,"(0.84765625, 0.84765625)","(0.705078125, 0.705078125)"
liver_105,liver_107,493,380,liver,is_present_target_both,Is there liver in both images?,Yes,"(0.84375, 0.84375)","(0.7820000052452087, 0.7820000052452087)"
liver_78,liver_70,166,286,liver,is_bright_compare,Is liver brighter in the first image than the second image?,No,"(0.7851560115814209, 0.7851560115814209)","(0.5976560115814209, 0.5976560115814209)"
liver_50,liver_2,136,457,cancer,is_present_target_both,Is there liver tumor in both images?,Yes,"(0.90625, 0.90625)","(0.775390625, 0.775390625)"
liver_4,liver_11,463,416,liver,is_larger_comparison,Is liver surface bigger in the first image than the second image?,No,"(0.9023439884185791, 0.9023439884185791)","(0.671875, 0.671875)"
liver_129,liver_72,159,71,cancer,diameter_evolution,What is the difference in diameter (in mm) between the largest liver tumor in the first image and the largest one in the second image?,-27,"(0.705078125, 0.705078125)","(0.6777340173721313, 0.6777340173721313)"
liver_123,liver_95,262,506,liver,diameter_evolution,What is the difference in diameter length of liver between the first and second image?,-1,"(0.748046875, 0.748046875)","(0.7379999756813049, 0.7379999756813049)"
liver_70,liver_54,286,77,liver,diameter_evolution,What is the difference in diameter length of liver between the first and second image?,-5,"(0.5976560115814209, 0.5976560115814209)","(0.828125, 0.828125)"
