scan_idx_1,scan_idx_2,slice_idx_1,slice_idx_2,question_type,question,answer,label,spacing_info_1,spacing_info_2
amos_0380,amos_0349,71,73,diameter_evolution,What is the difference in diameter length of right adrenal gland between the first and second image?,3,right adrenal gland,"(0.6067708134651184, 0.6067708134651184)","(0.703125, 0.703125)"
amos_0276,amos_0104,116,51,is_bright_compare,Is right kidney brighter in the first image than the second image?,Yes,right kidney,"(0.611328125, 0.611328125)","(0.7820000052452087, 0.7820000052452087)"
amos_0121,amos_0288,81,90,is_present_target_both,Is there postcava in both images?,Yes,,"(0.9459999799728394, 0.9459999799728394)","(0.7460939884185791, 0.7460939884185791)"
amos_0119,amos_0076,70,62,surface_evolution,What is the difference in surface area of left kidney between the first and second image?,-339,left kidney,"(0.7820000052452087, 0.7820000052452087)","(0.4830729067325592, 0.4830729067325592)"
amos_0218,amos_0203,151,200,is_bright_compare,Is liver brighter in the first image than the second image?,No,liver,"(0.7558590173721313, 0.7558590173721313)","(0.658203125, 0.658203125)"
amos_0374,amos_0094,67,67,common_organs,Is there at least 3 common organs displayed in both images?,Yes,,"(0.640625, 0.640625)","(0.8240000009536743, 0.8240000009536743)"
amos_0301,amos_0092,146,81,surface_evolution,What is the difference in surface area of stomach between the first and second image?,1691,stomach,"(0.7460939884185791, 0.7460939884185791)","(0.7820000052452087, 0.7820000052452087)"
amos_0264,amos_0307,159,155,surface_evolution,What is the difference in surface area of left kidney between the first and second image?,-582,left kidney,"(0.728515625, 0.728515625)","(0.671875, 0.671875)"
amos_0162,amos_0380,59,72,is_larger_comparison,Is right kidney bigger in the first image than the second image?,No,right kidney,"(0.7820000052452087, 0.7820000052452087)","(0.6067708134651184, 0.6067708134651184)"
amos_0280,amos_0247,122,178,is_present_target_both,Is there gall bladder in both images?,Yes,,"(0.6308590173721313, 0.6308590173721313)","(0.6484375, 0.6484375)"
amos_0033,amos_0142,74,72,common_organs,Is there at least 4 common organs displayed in both images?,Yes,,"(0.7820000052452087, 0.7820000052452087)","(0.6080729365348816, 0.6080729365348816)"
amos_0157,amos_0258,69,58,is_larger_comparison,Is gall bladder bigger in the first image than the second image?,No,gall bladder,"(0.7820000052452087, 0.7820000052452087)","(0.61328125, 0.61328125)"
amos_0268,amos_0075,147,58,common_organs,Is there at least 4 common organs displayed in both images?,Yes,,"(0.6484375, 0.6484375)","(0.7820000052452087, 0.7820000052452087)"
amos_0021,amos_0017,70,69,common_organs,Is there at least 2 common organs displayed in both images?,Yes,,"(0.8920000195503235, 0.8920000195503235)","(0.7820000052452087, 0.7820000052452087)"
amos_0317,amos_0274,132,113,is_present_target_both,Is there duodenum in both images?,Yes,,"(0.615234375, 0.615234375)","(0.6875, 0.6875)"
amos_0173,amos_0362,66,61,is_bright_compare,Is right kidney brighter in the first image than the second image?,No,right kidney,"(0.6341145634651184, 0.6341145634651184)","(0.6497395634651184, 0.6497395634651184)"
amos_0071,amos_0126,69,51,common_organs,Is there at least 2 common organs displayed in both images?,Yes,,"(0.8349999785423279, 0.8349999785423279)","(0.6890000104904175, 0.6890000104904175)"
amos_0161,amos_0225,59,163,diameter_evolution,What is the difference in diameter length of left adrenal gland between the first and second image?,-5,left adrenal gland,"(0.8579999804496765, 0.8579999804496765)","(0.564453125, 0.564453125)"
amos_0228,amos_0200,165,62,common_organs,Is there at least 4 common organs displayed in both images?,Yes,,"(0.681640625, 0.681640625)","(0.8999999761581421, 0.8999999761581421)"
amos_0383,amos_0149,90,86,diameter_evolution,What is the difference in diameter length of esophagus between the first and second image?,-4,esophagus,"(0.60546875, 0.60546875)","(0.9039999842643738, 0.9039999842643738)"
amos_0264,amos_0307,179,178,diameter_evolution,What is the difference in diameter length of gall bladder between the first and second image?,-19,gall bladder,"(0.728515625, 0.728515625)","(0.671875, 0.671875)"
amos_0040,amos_0176,56,71,diameter_evolution,What is the difference in diameter length of duodenum between the first and second image?,-40,duodenum,"(0.7820000052452087, 0.7820000052452087)","(0.7509999871253967, 0.7509999871253967)"
amos_0264,amos_0116,159,69,surface_evolution,What is the difference in surface area of left kidney between the first and second image?,-553,left kidney,"(0.728515625, 0.728515625)","(0.9070000052452087, 0.9070000052452087)"
amos_0299,amos_0184,24,15,diameter_evolution,What is the difference in diameter length of bladder between the first and second image?,-11,bladder,"(0.7792969942092896, 0.7792969942092896)","(0.8270000219345093, 0.8270000219345093)"
amos_0129,amos_0273,109,239,diameter_evolution,What is the difference in diameter length of aorta between the first and second image?,-75,aorta,"(0.7820000052452087, 0.7820000052452087)","(0.75, 0.75)"
amos_0304,amos_0117,144,47,diameter_evolution,What is the difference in diameter length of spleen between the first and second image?,21,spleen,"(0.64453125, 0.64453125)","(0.5078125, 0.5078125)"
amos_0111,amos_0282,88,196,is_present_target_both,Is there right adrenal gland in both images?,Yes,,"(0.7820000052452087, 0.7820000052452087)","(0.787109375, 0.787109375)"
amos_0170,amos_0025,86,64,is_present_target_both,Is there postcava in both images?,Yes,,"(0.8849999904632568, 0.8849999904632568)","(0.7820000052452087, 0.7820000052452087)"
amos_0054,amos_0129,70,109,is_bright_compare,Is aorta brighter in the first image than the second image?,No,aorta,"(0.609375, 0.609375)","(0.7820000052452087, 0.7820000052452087)"
amos_0128,amos_0313,76,-1,is_present_target_both,Is there gall bladder in both images?,No,,"(0.52734375, 0.52734375)","(0.724609375, 0.724609375)"
amos_0121,amos_0017,67,75,is_larger_comparison,Is spleen bigger in the first image than the second image?,Yes,spleen,"(0.9459999799728394, 0.9459999799728394)","(0.7820000052452087, 0.7820000052452087)"
amos_0185,amos_0023,63,77,is_bright_compare,Is stomach brighter in the first image than the second image?,No,stomach,"(0.9300000071525574, 0.9300000071525574)","(0.7820000052452087, 0.7820000052452087)"
amos_0138,amos_0110,60,69,is_present_target_both,Is there pancreas in both images?,Yes,,"(0.781000018119812, 0.781000018119812)","(0.7820000052452087, 0.7820000052452087)"
amos_0405,amos_0077,59,74,diameter_evolution,What is the difference in diameter length of gall bladder between the first and second image?,4,gall bladder,"(0.5885416865348816, 0.5885416865348816)","(0.6510416865348816, 0.6510416865348816)"
amos_0180,amos_0337,64,165,surface_evolution,What is the difference in surface area of left adrenal gland between the first and second image?,96,left adrenal gland,"(0.5377604365348816, 0.5377604365348816)","(0.748046875, 0.748046875)"
amos_0361,amos_0263,67,68,surface_evolution,What is the difference in surface area of right adrenal gland between the first and second image?,-42,right adrenal gland,"(0.52734375, 0.52734375)","(0.67578125, 0.67578125)"
amos_0078,amos_0410,75,79,diameter_evolution,What is the difference in diameter length of right adrenal gland between the first and second image?,-5,right adrenal gland,"(0.7820000052452087, 0.7820000052452087)","(0.5833333134651184, 0.5833333134651184)"
amos_0097,amos_0131,64,63,diameter_evolution,What is the difference in diameter length of duodenum between the first and second image?,35,duodenum,"(1.0679999589920044, 1.0679999589920044)","(0.6510416865348816, 0.6510416865348816)"
amos_0097,amos_0294,69,155,is_larger_comparison,Is left kidney bigger in the first image than the second image?,No,left kidney,"(1.0679999589920044, 1.0679999589920044)","(0.677734375, 0.677734375)"
amos_0136,amos_0034,67,72,common_organs,Is there at least 4 common organs displayed in both images?,Yes,,"(0.7889999747276306, 0.7889999747276306)","(0.7820000052452087, 0.7820000052452087)"
amos_0161,amos_0362,48,71,is_present_target_both,Is there left kidney in both images?,Yes,,"(0.8579999804496765, 0.8579999804496765)","(0.6497395634651184, 0.6497395634651184)"
amos_0029,amos_0238,61,119,diameter_evolution,What is the difference in diameter length of left kidney between the first and second image?,10,left kidney,"(0.7820000052452087, 0.7820000052452087)","(0.765625, 0.765625)"
amos_0254,amos_0395,59,64,common_organs,Is there at least 4 common organs displayed in both images?,Yes,,"(0.59765625, 0.59765625)","(0.4622395932674408, 0.4622395932674408)"
amos_0110,amos_0192,65,61,is_larger_comparison,Is left kidney bigger in the first image than the second image?,Yes,left kidney,"(0.7820000052452087, 0.7820000052452087)","(0.7820000052452087, 0.7820000052452087)"
amos_0200,amos_0208,65,170,is_larger_comparison,Is gall bladder bigger in the first image than the second image?,Yes,gall bladder,"(0.8999999761581421, 0.8999999761581421)","(0.640625, 0.640625)"
amos_0410,amos_0230,75,144,common_organs,Is there at least 4 common organs displayed in both images?,Yes,,"(0.5833333134651184, 0.5833333134651184)","(0.65625, 0.65625)"
amos_0231,amos_0376,70,60,common_organs,Is there at least 2 common organs displayed in both images?,Yes,,"(0.7675780057907104, 0.7675780057907104)","(0.54296875, 0.54296875)"
amos_0097,amos_0398,78,77,surface_evolution,What is the difference in surface area of liver between the first and second image?,-1732,liver,"(1.0679999589920044, 1.0679999589920044)","(0.6276041865348816, 0.6276041865348816)"
amos_0019,amos_0115,20,18,diameter_evolution,What is the difference in diameter length of prostate/uterus between the first and second image?,18,prostate/uterus,"(0.7820000052452087, 0.7820000052452087)","(0.47265625, 0.47265625)"
amos_0264,amos_0116,159,69,is_larger_comparison,Is left kidney bigger in the first image than the second image?,Yes,left kidney,"(0.728515625, 0.728515625)","(0.9070000052452087, 0.9070000052452087)"
amos_0373,amos_0328,74,73,is_bright_compare,Is spleen brighter in the first image than the second image?,No,spleen,"(0.6158854365348816, 0.6158854365348816)","(0.6796875, 0.6796875)"
amos_0215,amos_0600,161,47,is_bright_compare,Is pancreas brighter in the first image than the second image?,No,pancreas,"(0.69140625, 0.69140625)","(1.1875, 1.1875)"
amos_0185,amos_0197,74,100,is_present_target_both,Is there postcava in both images?,Yes,,"(0.9300000071525574, 0.9300000071525574)","(0.6710000038146973, 0.6710000038146973)"
amos_0124,amos_0059,70,63,is_larger_comparison,Is stomach bigger in the first image than the second image?,No,stomach,"(0.9490000009536743, 0.9490000009536743)","(0.7820000052452087, 0.7820000052452087)"
amos_0015,amos_0042,57,65,is_bright_compare,Is duodenum brighter in the first image than the second image?,Yes,duodenum,"(0.6497395634651184, 0.6497395634651184)","(0.7820000052452087, 0.7820000052452087)"
amos_0117,amos_0206,38,127,surface_evolution,What is the difference in surface area of right kidney between the first and second image?,573,right kidney,"(0.5078125, 0.5078125)","(0.611328125, 0.611328125)"
amos_0212,amos_0103,171,72,diameter_evolution,What is the difference in diameter length of right adrenal gland between the first and second image?,10,right adrenal gland,"(0.544921875, 0.544921875)","(0.5390625, 0.5390625)"
amos_0016,amos_0070,86,94,diameter_evolution,What is the difference in diameter length of postcava between the first and second image?,7,postcava,"(0.7820000052452087, 0.7820000052452087)","(0.5234375, 0.5234375)"
amos_0076,amos_0033,76,97,diameter_evolution,What is the difference in diameter length of postcava between the first and second image?,4,postcava,"(0.4830729067325592, 0.4830729067325592)","(0.7820000052452087, 0.7820000052452087)"
amos_0226,amos_0273,153,149,surface_evolution,What is the difference in surface area of left kidney between the first and second image?,298,left kidney,"(0.6171875, 0.6171875)","(0.75, 0.75)"
amos_0276,amos_0104,116,51,is_larger_comparison,Is right kidney bigger in the first image than the second image?,No,right kidney,"(0.611328125, 0.611328125)","(0.7820000052452087, 0.7820000052452087)"
amos_0218,amos_0203,151,200,is_larger_comparison,Is liver bigger in the first image than the second image?,Yes,liver,"(0.7558590173721313, 0.7558590173721313)","(0.658203125, 0.658203125)"
amos_0077,amos_0299,75,111,common_organs,Is there at least 4 common organs displayed in both images?,Yes,,"(0.6510416865348816, 0.6510416865348816)","(0.7792969942092896, 0.7792969942092896)"
amos_0278,amos_0364,225,91,is_bright_compare,Is aorta brighter in the first image than the second image?,Yes,aorta,"(0.693359375, 0.693359375)","(0.48046875, 0.48046875)"
amos_0041,amos_0333,62,149,diameter_evolution,What is the difference in diameter length of left adrenal gland between the first and second image?,-9,left adrenal gland,"(0.7820000052452087, 0.7820000052452087)","(0.69921875, 0.69921875)"
amos_0157,amos_0258,69,58,is_bright_compare,Is gall bladder brighter in the first image than the second image?,Yes,gall bladder,"(0.7820000052452087, 0.7820000052452087)","(0.61328125, 0.61328125)"
amos_0112,amos_0283,77,156,is_bright_compare,Is pancreas brighter in the first image than the second image?,No,pancreas,"(0.6184895634651184, 0.6184895634651184)","(0.626953125, 0.626953125)"
amos_0137,amos_0226,15,40,diameter_evolution,What is the difference in diameter length of bladder between the first and second image?,19,bladder,"(1.0219999551773071, 1.0219999551773071)","(0.6171875, 0.6171875)"
amos_0193,amos_0371,54,64,common_organs,Is there at least 2 common organs displayed in both images?,Yes,,"(0.8849999904632568, 0.8849999904632568)","(0.4973958432674408, 0.4973958432674408)"
amos_0136,amos_0258,67,59,common_organs,Is there at least 2 common organs displayed in both images?,Yes,,"(0.7889999747276306, 0.7889999747276306)","(0.61328125, 0.61328125)"
amos_0185,amos_0023,63,77,is_larger_comparison,Is stomach bigger in the first image than the second image?,No,stomach,"(0.9300000071525574, 0.9300000071525574)","(0.7820000052452087, 0.7820000052452087)"
amos_0308,amos_0304,71,144,is_bright_compare,Is spleen brighter in the first image than the second image?,No,spleen,"(0.62890625, 0.62890625)","(0.64453125, 0.64453125)"
amos_0081,amos_0181,69,61,diameter_evolution,What is the difference in diameter length of left kidney between the first and second image?,2,left kidney,"(0.5533854365348816, 0.5533854365348816)","(0.8659999966621399, 0.8659999966621399)"
amos_0286,amos_0318,13,9,is_present_target_both,Is there prostate/uterus in both images?,Yes,,"(0.703125, 0.703125)","(0.6484375, 0.6484375)"
amos_0215,amos_0075,157,58,common_organs,Is there at least 3 common organs displayed in both images?,Yes,,"(0.69140625, 0.69140625)","(0.7820000052452087, 0.7820000052452087)"
amos_0104,amos_0043,59,60,common_organs,Is there at least 3 common organs displayed in both images?,Yes,,"(0.7820000052452087, 0.7820000052452087)","(0.8429999947547913, 0.8429999947547913)"
amos_0015,amos_0042,57,65,is_larger_comparison,Is duodenum bigger in the first image than the second image?,Yes,duodenum,"(0.6497395634651184, 0.6497395634651184)","(0.7820000052452087, 0.7820000052452087)"
amos_0180,amos_0337,64,165,is_bright_compare,Is left adrenal gland brighter in the first image than the second image?,No,left adrenal gland,"(0.5377604365348816, 0.5377604365348816)","(0.748046875, 0.748046875)"
amos_0278,amos_0364,225,91,surface_evolution,What is the difference in surface area of aorta between the first and second image?,-193,aorta,"(0.693359375, 0.693359375)","(0.48046875, 0.48046875)"
amos_0176,amos_0318,70,67,diameter_evolution,What is the difference in diameter length of gall bladder between the first and second image?,43,gall bladder,"(0.7509999871253967, 0.7509999871253967)","(0.6484375, 0.6484375)"
amos_0374,amos_0094,72,74,is_present_target_both,Is there pancreas in both images?,Yes,,"(0.640625, 0.640625)","(0.8240000009536743, 0.8240000009536743)"
amos_0286,amos_0318,213,82,diameter_evolution,What is the difference in diameter length of aorta between the first and second image?,2,aorta,"(0.703125, 0.703125)","(0.6484375, 0.6484375)"
amos_0070,amos_0357,74,159,common_organs,Is there at least 4 common organs displayed in both images?,Yes,,"(0.5234375, 0.5234375)","(0.619140625, 0.619140625)"
amos_0318,amos_0377,68,73,is_larger_comparison,Is pancreas bigger in the first image than the second image?,No,pancreas,"(0.6484375, 0.6484375)","(0.4479166567325592, 0.4479166567325592)"
amos_0390,amos_0400,66,56,surface_evolution,What is the difference in surface area of right kidney between the first and second image?,-326,right kidney,"(0.62109375, 0.62109375)","(0.4674479067325592, 0.4674479067325592)"
amos_0323,amos_0207,208,293,is_present_target_both,Is there postcava in both images?,Yes,,"(0.685546875, 0.685546875)","(0.7929689884185791, 0.7929689884185791)"
amos_0135,amos_0027,73,72,is_bright_compare,Is spleen brighter in the first image than the second image?,No,spleen,"(0.9879999756813049, 0.9879999756813049)","(0.7820000052452087, 0.7820000052452087)"
amos_0316,amos_0085,165,67,common_organs,Is there at least 2 common organs displayed in both images?,Yes,,"(0.744140625, 0.744140625)","(0.7020000219345093, 0.7020000219345093)"
amos_0301,amos_0092,146,81,is_larger_comparison,Is stomach bigger in the first image than the second image?,No,stomach,"(0.7460939884185791, 0.7460939884185791)","(0.7820000052452087, 0.7820000052452087)"
amos_0333,amos_0233,180,190,diameter_evolution,What is the difference in diameter length of esophagus between the first and second image?,-5,esophagus,"(0.69921875, 0.69921875)","(0.705078125, 0.705078125)"
amos_0117,amos_0206,38,127,is_bright_compare,Is right kidney brighter in the first image than the second image?,No,right kidney,"(0.5078125, 0.5078125)","(0.611328125, 0.611328125)"
amos_0379,amos_0185,99,74,surface_evolution,What is the difference in surface area of postcava between the first and second image?,-115,postcava,"(0.6080729365348816, 0.6080729365348816)","(0.9300000071525574, 0.9300000071525574)"
amos_0179,amos_0292,83,72,diameter_evolution,What is the difference in diameter length of stomach between the first and second image?,-8,stomach,"(0.7820000052452087, 0.7820000052452087)","(0.693359375, 0.693359375)"
amos_0398,amos_0019,81,82,is_present_target_both,Is there aorta in both images?,Yes,,"(0.6276041865348816, 0.6276041865348816)","(0.7820000052452087, 0.7820000052452087)"
amos_0287,amos_0309,266,189,is_present_target_both,Is there right adrenal gland in both images?,Yes,,"(0.9765620231628418, 0.9765620231628418)","(0.70703125, 0.70703125)"
amos_0127,amos_0279,16,80,is_bright_compare,Is prostate/uterus brighter in the first image than the second image?,Yes,prostate/uterus,"(0.7820000052452087, 0.7820000052452087)","(0.703125, 0.703125)"
amos_0143,amos_0357,28,176,is_bright_compare,Is liver brighter in the first image than the second image?,No,liver,"(0.5299479365348816, 0.5299479365348816)","(0.619140625, 0.619140625)"
amos_0097,amos_0294,69,155,surface_evolution,What is the difference in surface area of left kidney between the first and second image?,1237,left kidney,"(1.0679999589920044, 1.0679999589920044)","(0.677734375, 0.677734375)"
amos_0180,amos_0337,64,165,is_larger_comparison,Is left adrenal gland bigger in the first image than the second image?,No,left adrenal gland,"(0.5377604365348816, 0.5377604365348816)","(0.748046875, 0.748046875)"
amos_0390,amos_0320,71,140,is_present_target_both,Is there duodenum in both images?,Yes,,"(0.62109375, 0.62109375)","(0.625, 0.625)"
amos_0008,amos_0108,17,11,diameter_evolution,What is the difference in diameter length of prostate/uterus between the first and second image?,4,prostate/uterus,"(0.6158854365348816, 0.6158854365348816)","(0.7820000052452087, 0.7820000052452087)"
amos_0166,amos_0195,59,62,is_larger_comparison,Is right kidney bigger in the first image than the second image?,No,right kidney,"(0.7820000052452087, 0.7820000052452087)","(0.953000009059906, 0.953000009059906)"
amos_0067,amos_0070,82,72,is_larger_comparison,Is stomach bigger in the first image than the second image?,No,stomach,"(0.8539999723434448, 0.8539999723434448)","(0.5234375, 0.5234375)"
amos_0391,amos_0010,67,86,is_larger_comparison,Is spleen bigger in the first image than the second image?,Yes,spleen,"(0.97265625, 0.97265625)","(0.8080000281333923, 0.8080000281333923)"
amos_0171,amos_0391,74,66,is_bright_compare,Is left adrenal gland brighter in the first image than the second image?,Yes,left adrenal gland,"(0.6510416865348816, 0.6510416865348816)","(0.97265625, 0.97265625)"
amos_0189,amos_0150,82,81,surface_evolution,What is the difference in surface area of esophagus between the first and second image?,165,esophagus,"(0.4791666567325592, 0.4791666567325592)","(0.6432291865348816, 0.6432291865348816)"
amos_0180,amos_0118,64,63,common_organs,Is there at least 2 common organs displayed in both images?,Yes,,"(0.5377604365348816, 0.5377604365348816)","(0.8539999723434448, 0.8539999723434448)"
amos_0396,amos_0296,75,147,is_bright_compare,Is spleen brighter in the first image than the second image?,No,spleen,"(0.6432291865348816, 0.6432291865348816)","(0.7949219942092896, 0.7949219942092896)"
amos_0264,amos_0307,159,155,is_larger_comparison,Is left kidney bigger in the first image than the second image?,Yes,left kidney,"(0.728515625, 0.728515625)","(0.671875, 0.671875)"
amos_0318,amos_0377,68,73,surface_evolution,What is the difference in surface area of pancreas between the first and second image?,286,pancreas,"(0.6484375, 0.6484375)","(0.4479166567325592, 0.4479166567325592)"
amos_0332,amos_0294,205,217,is_bright_compare,Is esophagus brighter in the first image than the second image?,Yes,esophagus,"(0.68359375, 0.68359375)","(0.677734375, 0.677734375)"
amos_0379,amos_0185,99,74,is_bright_compare,Is postcava brighter in the first image than the second image?,No,postcava,"(0.6080729365348816, 0.6080729365348816)","(0.9300000071525574, 0.9300000071525574)"
amos_0112,amos_0283,77,156,is_larger_comparison,Is pancreas bigger in the first image than the second image?,Yes,pancreas,"(0.6184895634651184, 0.6184895634651184)","(0.626953125, 0.626953125)"
amos_0391,amos_0010,67,86,is_bright_compare,Is spleen brighter in the first image than the second image?,No,spleen,"(0.97265625, 0.97265625)","(0.8080000281333923, 0.8080000281333923)"
amos_0124,amos_0059,27,6,surface_evolution,What is the difference in surface area of bladder between the first and second image?,-263,bladder,"(0.9490000009536743, 0.9490000009536743)","(0.7820000052452087, 0.7820000052452087)"
amos_0235,amos_0381,158,66,surface_evolution,What is the difference in surface area of left kidney between the first and second image?,474,left kidney,"(0.6875, 0.6875)","(0.6458333134651184, 0.6458333134651184)"
amos_0013,amos_0357,12,48,is_larger_comparison,Is bladder bigger in the first image than the second image?,No,bladder,"(0.781000018119812, 0.781000018119812)","(0.619140625, 0.619140625)"
amos_0215,amos_0600,161,47,is_larger_comparison,Is pancreas bigger in the first image than the second image?,Yes,pancreas,"(0.69140625, 0.69140625)","(1.1875, 1.1875)"
amos_0361,amos_0263,67,68,is_larger_comparison,Is right adrenal gland bigger in the first image than the second image?,Yes,right adrenal gland,"(0.52734375, 0.52734375)","(0.67578125, 0.67578125)"
amos_0134,amos_0038,39,69,common_organs,Is there at least 2 common organs displayed in both images?,Yes,,"(0.8539999723434448, 0.8539999723434448)","(0.781000018119812, 0.781000018119812)"
amos_0390,amos_0400,66,56,is_bright_compare,Is right kidney brighter in the first image than the second image?,Yes,right kidney,"(0.62109375, 0.62109375)","(0.4674479067325592, 0.4674479067325592)"
amos_0124,amos_0059,70,63,is_bright_compare,Is stomach brighter in the first image than the second image?,No,stomach,"(0.9490000009536743, 0.9490000009536743)","(0.7820000052452087, 0.7820000052452087)"
amos_0124,amos_0059,27,6,is_larger_comparison,Is bladder bigger in the first image than the second image?,Yes,bladder,"(0.9490000009536743, 0.9490000009536743)","(0.7820000052452087, 0.7820000052452087)"
amos_0311,amos_0203,108,142,is_bright_compare,Is duodenum brighter in the first image than the second image?,Yes,duodenum,"(0.591796875, 0.591796875)","(0.658203125, 0.658203125)"
amos_0009,amos_0214,74,283,is_present_target_both,Is there aorta in both images?,Yes,,"(0.7820000052452087, 0.7820000052452087)","(0.8515625, 0.8515625)"
amos_0064,amos_0396,59,71,surface_evolution,What is the difference in surface area of gall bladder between the first and second image?,275,gall bladder,"(0.7820000052452087, 0.7820000052452087)","(0.6432291865348816, 0.6432291865348816)"
amos_0124,amos_0059,27,6,is_bright_compare,Is bladder brighter in the first image than the second image?,Yes,bladder,"(0.9490000009536743, 0.9490000009536743)","(0.7820000052452087, 0.7820000052452087)"
amos_0248,amos_0190,182,86,diameter_evolution,What is the difference in diameter length of esophagus between the first and second image?,3,esophagus,"(0.689453125, 0.689453125)","(0.7929999828338623, 0.7929999828338623)"
amos_0075,amos_0004,58,59,common_organs,Is there at least 2 common organs displayed in both images?,Yes,,"(0.7820000052452087, 0.7820000052452087)","(0.7820000052452087, 0.7820000052452087)"
amos_0069,amos_0184,63,75,diameter_evolution,What is the difference in diameter length of left kidney between the first and second image?,19,left kidney,"(0.8009999990463257, 0.8009999990463257)","(0.8270000219345093, 0.8270000219345093)"
amos_0173,amos_0362,66,61,surface_evolution,What is the difference in surface area of right kidney between the first and second image?,-1050,right kidney,"(0.6341145634651184, 0.6341145634651184)","(0.6497395634651184, 0.6497395634651184)"
amos_0162,amos_0380,59,72,is_bright_compare,Is right kidney brighter in the first image than the second image?,Yes,right kidney,"(0.7820000052452087, 0.7820000052452087)","(0.6067708134651184, 0.6067708134651184)"
amos_0063,amos_0034,81,64,is_present_target_both,Is there right kidney in both images?,Yes,,"(0.7820000052452087, 0.7820000052452087)","(0.7820000052452087, 0.7820000052452087)"
amos_0373,amos_0328,74,73,is_larger_comparison,Is spleen bigger in the first image than the second image?,No,spleen,"(0.6158854365348816, 0.6158854365348816)","(0.6796875, 0.6796875)"
amos_0121,amos_0017,67,75,surface_evolution,What is the difference in surface area of spleen between the first and second image?,-497,spleen,"(0.9459999799728394, 0.9459999799728394)","(0.7820000052452087, 0.7820000052452087)"
amos_0254,amos_0395,61,66,is_present_target_both,Is there left adrenal gland in both images?,Yes,,"(0.59765625, 0.59765625)","(0.4622395932674408, 0.4622395932674408)"
